Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
Where Things Come Back,John Corey Whaley,$7.49 ,9781442413344,Atheneum Books for Young Readers,7/24/12,256.0,5.60(w) x 8.22(h) x 0.68(d),Where Things Come Back,John Corey Whaley,$8.47,9781442413344,Atheneum Books for Young Readers,"Jul. 24th, 2012",228,5.57 x 8.29 x 0.86 inches,1
"The PTSD Workbook for Teens: Simple, Effective Skills for Healing Trauma",Libbi Palmer,$12.09 ,9781608823215,New Harbinger Publications,11/1/12,160.0,7.80(w) x 9.90(h) x 0.20(d),The Ptsd Workbook for Teens,Libbi Palmer,$17.34,9781608823215,Instant Help Books,"Nov. 1st, 2012",144,,1
Peeled,Joan Bauer,$7.99 ,9780142414309,Penguin Young Readers Group,6/25/09,256.0,5.50(w) x 8.20(h) x 0.80(d),Peeled,Joan Bauer,$8.62,9780142414309,Speak,"Jun. 25th, 2009",247,5.72 x 8.26 x 0.69 inches,1
The Ascension: A Super Human Clash: A Super Human Clash,Michael Carroll,$9.99 ,9780142421093,Penguin Young Readers Group,7/19/12,400.0,8.20(w) x 5.40(h) x 1.10(d),The Ascension(Super Human),Michael Carroll,$10.34,9780142421093,Speak,"Jul. 19th, 2012",378,5.49 x 8.26 x 0.99 inches,1
Habibi,Naomi Shihab Nye,$7.99 ,9780689825231,Simon Pulse,6/28/99,272.0,4.30(w) x 7.00(h) x 0.80(d),Habibi,Naomi Shihab Nye,$8.69,9780689825231,Simon Pulse,"Jun. 1st, 1999",272,4.20 x 7.32 x 0.79 inches,1
Son of the Mob,Gordon Korman,$8.99 ,9780786815937,Disney-Hyperion,9/1/04,272.0,5.25(w) x 7.50(h) x 0.62(d),Son of the Mob(Son of the Mob (Paperback)),Gordon Korman,$9.87,9780786815937,Hyperion Books for Children,"Aug. 9th, 2004",262,5.28 x 7.56 x 0.69 inches,1
Rage of the Fallen (Last Apprentice Series #8),Joseph Delaney,$9.99 ,9780062027580,HarperCollins Publishers,4/17/12,416.0,5.34(w) x 7.82(h) x 1.02(d),Rage of the Fallen(Last Apprentice (Paperback)),Joseph Delaney,$10.86,9780062027580,Greenwillow Books,"Apr. 17th, 2012",396,5.30 x 8.02 x 1.02 inches,1
The Name of the Star (Shades of London Series #1),Maureen Johnson,$9.99 ,9780142422052,Penguin Young Readers Group,10/2/12,400.0,5.40(w) x 8.20(h) x 1.10(d),The Name of the Star(Shades of London (Quality - Trilogy)),Maureen Johnson,$8.65,9780142422052,Speak,"Oct. 2nd, 2012",400,,1
"Mary, Bloody Mary (Young Royals Series)",Carolyn Meyer,$7.99 ,9780152164560,Houghton Mifflin Harcourt,4/28/01,240.0,4.19(w) x 6.88(h) x 0.65(d),"Mary, Bloody Mary(Young Royals Books (Paperback))",Carolyn Meyer,$9.25,9780152164560,Gulliver Books,"Apr. 1st, 2001",227,4.58 x 7.06 x 0.58 inches,1
The Burn Journals,Brent Runyon,$12.46 ,9781400096428,Knopf Doubleday Publishing Group,10/11/05,336.0,5.18(w) x 8.00(h) x 0.71(d),The Burn Journals,Brent Runyon,$14.09,9781400096428,Vintage Books USA,"Oct. 11th, 2005",325,5.30 x 8.00 x 0.72 inches,1
Athletic Shorts: Six Short Stories,Chris Crutcher,$9.99 ,9780060507831,HarperCollins Publishers,11/28/02,208.0,7.16(w) x 5.00(h) x 0.44(d),Athletic Shorts,Chris Crutcher,$10.66,9780060507831,Greenwillow Books,"Nov. 5th, 2002",208,5.02 x 7.08 x 0.48 inches,1
Farewell to Manzanar,Jeanne Wakatsuki Houston,$6.80 ,9780307976079,Random House Children's Books,2/14/12,240.0,5.50(w) x 8.10(h) x 0.70(d),Farewell to Manzanar,Jeanne Wakatsuki Houston,$9.72,9780307976079,Ember,"Feb. 14th, 2012",208,5.40 x 8.00 x 0.70 inches,1
Echo (Soul Seekers Series #2),Alyson No��l,$7.30 ,9780312575663,St. Martin's Press,11/13/12,352.0,8.20(w) x 5.40(h) x 1.10(d),Echo(Soul Seekers (Quality)),Alyson Noel,,9780312575663,St. Martin's Griffin,"Nov. 13th, 2012",352,,1
Small Steps,Louis Sachar,$9.99 ,9780385733151,Random House Children's Books,1/8/08,288.0,7.94(w) x 5.12(h) x 0.62(d),Small Steps,Louis Sachar,$8.91,9780385733151,Delacorte Press Books for Young Readers,"Jan. 8th, 2008",257,5.25 x 8.03 x 0.63 inches,1
"Every You, Every Me",David Levithan,$9.99 ,9780375854514,Random House Children's Books,9/11/12,256.0,5.62(w) x 8.19(h) x 0.57(d),"Every You, Every Me",David Levithan,$11.00,9780375854514,Ember,"Sep. 11th, 2012",256,,1
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson Series #1)",Louise Rennison,$9.99 ,9780064472272,HarperCollins Publishers,3/20/01,272.0,5.10(w) x 7.90(h) x 0.70(d),"Angus, Thongs and Full-Frontal Snogging(Confessions of Georgia Nicolson (Quality))",Louise Rennison,$10.59,9780064472272,HarperTempest,"Apr. 10th, 2001",272,5.39 x 8.05 x 0.66 inches,1
Killing Mr. Griffin,Lois Duncan,$9.00 ,9780316099004,"Little, Brown Books for Young Readers",10/5/10,248.0,5.40(w) x 8.10(h) x 0.70(d),Killing Mr. Griffin,Lois Duncan,$9.98,9780316099004,"Little, Brown Books for Young Readers","Oct. 5th, 2010",248,5.50 x 8.20 x 0.80 inches,1
White Cat (Curse Workers Series #1),Holly Black,$8.99 ,9781416963974,Margaret K. McElderry Books,2/8/11,336.0,5.40(w) x 8.10(h) x 1.00(d),"White Cat(Curse Workers, the Curse Workers)",Holly Black,$10.00,9781416963974,Margaret K. McElderry Books,"Feb. 8th, 2011",310,5.65 x 8.22 x 0.89 inches,1
Plague (Gone Series #4),Michael Grant,$9.99 ,9780061449147,HarperCollins Publishers,4/8/14,528.0,5.30(w) x 7.90(h) x 1.50(d),Plague(Gone (Paper)),Michael Grant,$10.86,9780061449147,Katherine Tegen Books,"Apr. 3rd, 2012",492,5.30 x 7.90 x 1.40 inches,1
Surviving the Angel of Death: The True Story of a Mengele Twin in Auschwitz,Eva Mozes Kor,$8.95 ,9781933718576,Tanglewood Press IN,3/13/12,175.0,5.40(w) x 8.40(h) x 0.50(d),Surviving the Angel of Death,Eva Mozes Kor,$9.52,9781933718576,Tanglewood Press,"Mar. 13th, 2012",141,5.40 x 8.30 x 0.50 inches,1
Tyrell,Coe Booth,$8.99 ,9780439838801,"Scholastic, Inc.",9/1/07,320.0,4.90(w) x 6.90(h) x 0.80(d),Tyrell,Coe Booth,$8.77,9780439838801,Push,"Sep. 1st, 2007",310,5.32 x 7.04 x 0.71 inches,1
Soldier's Heart: Being the Story of the Enlistment and Due Service of the Boy Charley Goddard in the First Minnesota Volunteers,Gary Paulsen,$6.99 ,9780440228387,Random House Children's Books,9/28/00,128.0,6.86(w) x 4.08(h) x 0.41(d),Soldier's Heart,Gary Paulsen,$8.42,9780440228387,Laurel Leaf Library,"Sep. 12th, 2000",128,4.26 x 6.82 x 0.38 inches,1
Sacajawea,Joseph Bruchac,$6.99 ,9780152064556,Houghton Mifflin Harcourt,10/1/08,199.0,4.90(w) x 7.40(h) x 0.60(d),Sacajawea,Joseph Bruchac,$9.56,9780152064556,Graphia Books,"Oct. 1st, 2008",208,5.02 x 7.38 x 0.57 inches,1
The Arm of the Starfish (O'Keefe Family Series #1),Madeleine L'Engle,$9.99 ,9780312674885,Square Fish,6/7/11,272.0,5.50(w) x 8.20(h) x 1.00(d),The Arm of the Starfish,Madeleine L'Engle,$10.70,9780312674885,Square Fish,"Jun. 7th, 2011",243,5.62 x 8.24 x 0.72 inches,1
"My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",Steve Kluger,$8.99 ,9780142413432,Penguin Young Readers Group,2/19/09,416.0,5.46(w) x 8.12(h) x 1.11(d),My Most Excellent Year,Steve Kluger,$8.78,9780142413432,Speak,"Mar. 1st, 2009",403,5.58 x 8.21 x 1.11 inches,1
Hunted (House of Night Series #5),P. C. Cast,$9.99 ,9780312577995,St. Martin's Press,3/16/10,336.0,5.40(w) x 8.20(h) x 1.10(d),Hunted(House of Night Novels (Paperback)),P. C. Cast,$10.71,9780312577995,St. Martin's Griffin,"Mar. 16th, 2010",336,5.62 x 8.16 x 0.89 inches,1
The Disreputable History of Frankie Landau-Banks,E. Lockhart,$9.99 ,9780786838196,Disney-Hyperion,8/25/09,352.0,5.50(w) x 8.20(h) x 0.90(d),The Disreputable History of Frankie Landau-Banks,E. Lockhart,$10.99,9780786838196,Hyperion Books,"Aug. 1st, 2009",352,5.34 x 8.44 x 0.74 inches,1
Along for the Ride,Sarah Dessen,$9.99 ,9780142415566,Penguin Young Readers Group,4/5/11,432.0,5.32(w) x 8.36(h) x 1.20(d),Along for the Ride,Sarah Dessen,$10.18,9780142415566,Speak,"Apr. 5th, 2011",399,5.40 x 8.30 x 1.20 inches,1
Two-Way Street,Lauren Barnholdt,$7.68 ,9781416913184,Simon Pulse,6/26/07,304.0,5.70(w) x 8.10(h) x 0.80(d),Two-Way Street,Lauren Barnholdt,$10.71,9781416913184,Simon Pulse,"Jun. 1st, 2007",304,5.54 x 8.16 x 0.82 inches,1
Kiss of Frost (Mythos Academy Series #2),Jennifer Estep,$8.79 ,9780758266941,Kensington,12/1/11,368.0,5.50(w) x 8.20(h) x 1.10(d),Kiss of Frost(Mythos Academy Novels),Jennifer Estep,$10.70,9780758266941,Kensington Publishing Corporation,"Dec. 1st, 2011",374,5.50 x 8.20 x 1.20 inches,1
The Reckoning (Darkest Powers Series #3),Kelley Armstrong,$9.99 ,9780061450563,HarperCollins Publishers,4/12/11,416.0,5.30(w) x 7.90(h) x 1.10(d),The Reckoning(Darkest Powers (Paperback)),Kelley Armstrong,$10.72,9780061450563,HarperCollins,"Apr. 12th, 2011",391,5.41 x 7.99 x 1.06 inches,1
The Necromancer (The Secrets of the Immortal Nicholas Flamel #4),Michael Scott,$10.08 ,9780385735322,Random House Children's Books,4/26/11,416.0,5.06(w) x 7.92(h) x 0.92(d),The Necromancer(Secrets of the Immortal Nicholas Flamel (Paperback)),Michael Scott,$10.54,9780385735322,Ember,"Apr. 26th, 2011",403,5.28 x 7.95 x 0.92 inches,1
The Girl in the Steel Corset (Steampunk Chronicles Series),Kady Cross,$9.99 ,9780373210701,Harlequin,4/17/12,480.0,5.40(w) x 8.10(h) x 1.30(d),The Girl in the Steel Corset(Harlequin Teen),Kady Cross,$10.86,9780373210701,Harlequin Teen,"Apr. 17th, 2012",476,5.46 x 8.27 x 1.33 inches,1
Pretty Little Secrets (Pretty Little Liars Series),Sara Shepard,$9.99 ,9780062125927,HarperCollins Publishers,1/2/13,450.0,5.44(w) x 7.84(h) x 1.14(d),Pretty Little Liars(Pretty Little Liars),Sara Shepard,$7.98,9780062125927,Harper Teen,"Jan. 2nd, 2013",480,,1
First Crossing: Stories About Teen Immigrants,Donald R. Gallo,$8.99 ,9780763632915,Candlewick Press,3/13/07,240.0,7.38(w) x 8.27(h) x 0.69(d),First Crossing,Donald R. Gallo,$10.18,9780763632915,Candlewick Press (MA),"Mar. 13th, 2007",224,5.52 x 7.98 x 0.65 inches,1
Eleventh Grade Burns (The Chronicles of Vladimir Tod Series #4),Heather Brewer,$8.99 ,9780142416471,Penguin Young Readers Group,8/10/10,320.0,5.40(w) x 8.10(h) x 0.90(d),Eleventh Grade Burns(Chronicles of Vladimir Tod (Quality)),Heather Brewer,$9.35,9780142416471,Speak,"Aug. 10th, 2010",313,6.12 x 8.18 x 0.85 inches,1
Godless,Pete Hautman,$8.60 ,9781416908166,Simon & Schuster Books For Young Readers,10/25/05,208.0,5.50(w) x 0.60(h) x 8.20(d),Godless,Pete Hautman,$11.41,9781416908166,Simon Pulse,"Oct. 25th, 2005",198,5.54 x 8.18 x 0.63 inches,1
Uglies: Uglies; Pretties; Specials; Extras,Scott Westerfeld,$28.56 ,9781442479395,Simon Pulse,8/21/12,1600.0,5.60(w) x 8.50(h) x 4.40(d),Uglies,Scott Westerfeld,$34.81,9781442479395,Simon Pulse,"Aug. 21st, 2012",1600,9.01 x 7.51 x 4.40 inches,1
Flygirl,Sherri L. Smith,$8.99 ,9780142417256,Penguin Young Readers Group,9/16/10,304.0,5.40(w) x 8.20(h) x 0.90(d),Flygirl,Sherri L. Smith,$8.39,9780142417256,Speak,"Sep. 16th, 2010",288,6.54 x 8.22 x 0.75 inches,1
Gallagher Girls 3-book pbk boxed set,Ally Carter,$18.10 ,9781423136798,Disney-Hyperion,9/28/10,832.0,6.94(w) x 11.30(h) x 1.93(d),Gallagher Girls 3-Book Pbk Boxed Set,Ally Carter,$22.13,9781423136798,Hyperion Books,"Sep. 28th, 2010",832,5.60 x 8.40 x 1.91 inches,1
Revenge of the Witch (Last Apprentice Series #1),Joseph Delaney,$9.99 ,9780060766207,HarperCollins Publishers,7/25/06,384.0,5.31(w) x 8.00(h) x 0.86(d),Revenge of the Witch(Last Apprentice (Paperback)),Joseph Delaney,$10.71,9780060766207,HarperTrophy,"Aug. 1st, 2006",340,6.10 x 8.00 x 0.95 inches,1
Dead Is So Last Year (Dead Is Series #3),Marlene Perez,$6.41 ,9780152062163,Houghton Mifflin Harcourt,5/4/09,208.0,5.00(w) x 6.90(h) x 0.70(d),Dead Is So Last Year(Dead Is (Paper)),Marlene Perez,$9.15,9780152062163,Graphia Books,"May. 1st, 2009",192,5.00 x 6.90 x 0.60 inches,1
Evermore (Immortals Series #1),Alyson No��l,$9.95 ,9780312532758,St. Martin's Press,2/3/09,320.0,5.60(w) x 8.30(h) x 0.85(d),Evermore(Immortal Brotherhood),Alyson Noel,$10.64,9780312532758,St. Martin's Griffin,"Feb. 3rd, 2009",306,5.45 x 8.28 x 0.85 inches,1
East,Edith Pattou,$8.95 ,9780152052218,Houghton Mifflin Harcourt,5/1/05,528.0,5.31(w) x 8.00(h) x 1.24(d),East,Edith Pattou,$10.27,9780152052218,Harcourt Brace and Company,"May. 1st, 2005",507,5.31 x 8.08 x 1.25 inches,1
Purple Heart,Patricia  McCormick,$9.99 ,9780061730924,HarperCollins Publishers,2/15/11,199.0,5.30(w) x 7.90(h) x 0.60(d),Purple Heart,Patricia McCormick,$10.58,9780061730924,Balzer & Bray/Harperteen,"Feb. 15th, 2011",199,5.40 x 8.20 x 0.50 inches,1
Hunters of the Dusk (Cirque Du Freak Series #7),Darren Shan,$7.40 ,9780316602112,"Little, Brown Books for Young Readers",5/11/05,224.0,5.12(w) x 7.62(h) x 0.75(d),Hunters of the Dusk(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.61,9780316602112,"Little, Brown Books for Young Readers","May. 11th, 2005",224,5.50 x 8.22 x 0.67 inches,1
Ruined,Paula Morris,$7.23 ,9780545042147,"Scholastic, Inc.",8/1/10,320.0,5.74(w) x 11.22(h) x 0.61(d),Ruined,Paula Morris,$10.31,9780545042147,Point,"Aug. 1st, 2010",309,5.34 x 8.00 x 0.64 inches,1
The Fifth of March: A Story of the Boston Massacre,Ann Rinaldi,$7.99 ,9780152050788,Houghton Mifflin Harcourt,3/1/04,352.0,4.50(w) x 7.00(h) x 0.91(d),The Fifth of March(Great Episodes (Paperback)),Ann Rinaldi,$9.17,9780152050788,Gulliver Books,"Mar. 1st, 2004",333,4.58 x 6.78 x 0.97 inches,1
Send,Patty Blount,$8.25 ,9781402273377,Sourcebooks,8/1/12,304.0,5.60(w) x 8.08(h) x 0.84(d),Send,Patty Blount,$6.49,9781402273377,Sourcebooks Fire,"Aug. 1st, 2012",291,5.40 x 8.20 x 0.80 inches,1
If I Should Die Before I Wake,Han Nolan,$7.99 ,9780152046798,Houghton Mifflin Harcourt,4/14/03,312.0,4.90(w) x 6.94(h) x 0.80(d),If I Should Die Before I Wake,Han Nolan,$9.26,9780152046798,Harcourt Paperbacks,"May. 1st, 2003",312,5.10 x 6.97 x 0.75 inches,1
Epic Fail,Claire LaZebnik,$9.99 ,9780061921261,HarperCollins Publishers,8/2/11,304.0,5.31(w) x 8.00(h) x 0.68(d),Epic Fail,Claire LaZebnik,$10.70,9780061921261,Harper Teen,"Aug. 2nd, 2011",295,5.30 x 7.90 x 0.80 inches,1
The Iron Legends: Winter's Passage\Summer's Crossing\Iron's Prophecy,Julie Kagawa,$9.99 ,9780373210749,Harlequin,8/28/12,304.0,5.60(w) x 8.30(h) x 1.20(d),The Iron Legends(Iron Fey - Trilogy),Julie Kagawa,$10.86,9780373210749,Harlequin Teen,"Aug. 28th, 2012",304,,1
The 6 Most Important Decisions You'll Ever Make: A Guide for Teens,Sean Covey,$11.79 ,9780743265041,Touchstone,10/3/06,336.0,6.10(w) x 9.10(h) x 0.70(d),The 6 Most Important Decisions You'll Ever Make,Sean Covey,$18.26,9780743265041,Fireside Books,"Sep. 1st, 2006",324,6.12 x 9.12 x 0.68 inches,1
Rebeldes (The Outsiders),S. E. Hinton,$9.95 ,9781594378072,Santillana USA Pub Co Inc,6/30/07,192.0,5.90(w) x 9.20(h) x 0.60(d),Rebeldes = The Outsiders,Susan E. Hinton,$12.35,9781594378072,Alfaguara Infantil,"Jan. 1st, 2004",192,5.50 x 8.30 x 0.70 inches,1
The Adoration of Jenna Fox,Mary E. Pearson,$9.99 ,9780312594411,Square Fish,9/1/09,288.0,5.30(w) x 8.20(h) x 0.90(d),The Adoration of Jenna Fox(Jenna Fox Chronicles),Mary E. Pearson,$10.58,9780312594411,Square Fish,"Sep. 1st, 2009",266,5.54 x 8.28 x 0.76 inches,1
Sleeping Freshmen Never Lie,David Lubar,$9.99 ,9780142407806,Penguin Young Readers Group,1/18/07,288.0,5.44(w) x 8.25(h) x 0.69(d),Sleeping Freshmen Never Lie,David Lubar,$9.89,9780142407806,Puffin Books,"Apr. 1st, 2007",279,5.51 x 8.23 x 0.77 inches,1
Staying Fat for Sarah Byrnes,Chris Crutcher,$9.99 ,9780060094898,HarperCollins Publishers,2/27/03,304.0,5.00(w) x 7.12(h) x 0.60(d),Staying Fat for Sarah Byrnes,Chris Crutcher,$10.67,9780060094898,Greenwillow Books,"Mar. 18th, 2003",304,5.05 x 7.12 x 0.63 inches,1
That Summer,Sarah Dessen,$9.99 ,9780142401729,Penguin Young Readers Group,5/11/04,224.0,5.50(w) x 8.25(h) x 0.50(d),That Summer,Sarah Dessen,$9.88,9780142401729,Speak,"May. 11th, 2004",198,5.40 x 8.63 x 0.57 inches,1
The Seven Songs (Merlin Saga Series #2),T. A. Barron,$7.99 ,9780142419205,Penguin Young Readers Group,5/12/11,336.0,5.00(w) x 7.70(h) x 1.00(d),The Seven Songs(Merlin (Puffin)),T. A. Barron,$9.31,9780142419205,Puffin Books,"May. 12th, 2011",306,5.00 x 7.60 x 1.00 inches,1
Someday This Pain Will Be Useful to You,Peter Cameron,$11.87 ,9780312428167,Picador,4/28/09,240.0,8.20(w) x 5.54(h) x 0.64(d),Someday This Pain Will Be Useful to You,Peter Cameron,$14.12,9780312428167,Picador USA,"Apr. 28th, 2009",229,5.40 x 8.20 x 0.80 inches,1
The Amber Spyglass (His Dark Materials Series #3),Philip Pullman,$7.99 ,9780440418566,Random House Children's Books,5/27/03,560.0,5.19(w) x 7.63(h) x 1.25(d),The Amber Spyglass(His Dark Materials (Paperback)),Philip Pullman,$9.46,9780440418566,Yearling Books,"May. 27th, 2003",518,5.10 x 7.67 x 1.25 inches,1
Tithe (Modern Tale of Faerie Series #1),Holly Black,$8.74 ,9780689867040,Margaret K. McElderry Books,3/23/04,336.0,5.20(w) x 6.90(h) x 0.90(d),Tithe(Modern Faerie Tale),Holly Black,$11.30,9780689867040,Simon Pulse,"Mar. 23rd, 2004",331,5.04 x 7.16 x 0.94 inches,1
Sacrifices (Shadow Grail Series #3),Mercedes Lackey,$7.96 ,9780765317636,Tom Doherty Associates,4/2/13,304.0,5.40(w) x 8.20(h) x 1.00(d),Shadow Grail #3(Shadow Grail),Mercedes Lackey,$11.92,9780765317636,Tor Books,"Apr. 2nd, 2013",304,,1
Fear (Gone Series #5),Michael Grant,$9.99 ,9780061449178,HarperCollins Publishers,4/8/14,509.0,5.30(w) x 7.90(h) x 1.40(d),Fear(Gone),Michael Grant,$10.86,9780061449178,Katherine Tegen Books,"Apr. 2nd, 2013",544,,1
Snakehead (Alex Rider Series #7),Anthony Horowitz,$8.99 ,9780142412121,Penguin Young Readers Group,9/4/08,432.0,5.00(w) x 7.65(h) x 1.00(d),Snakehead(Alex Rider Adventures (Paperback)),Anthony Horowitz,$10.25,9780142412121,Speak,"Sep. 4th, 2008",388,5.44 x 7.30 x 1.13 inches,1
The Goddess Test,Aim��e Carter,$9.99 ,9780373210268,Harlequin,4/19/11,304.0,5.30(w) x 8.20(h) x 0.90(d),The Goddess Test(Goddess Test Novel),Aimee Carter,$10.70,9780373210268,Harlequin Teen,"Apr. 19th, 2011",293,5.40 x 8.20 x 0.90 inches,1
Boy Meets Boy,David Levithan,$9.99 ,9780375832994,Random House Children's Books,5/10/05,192.0,5.60(w) x 8.20(h) x 0.50(d),Boy Meets Boy,David Levithan,$9.97,9780375832994,Alfred A. Knopf Books for Young Readers,"May. 10th, 2005",185,5.21 x 8.09 x 0.43 inches,1
Ten Things We Did (and Probably Shouldn't Have),Sarah Mlynowski,$9.99 ,9780061701269,HarperCollins Publishers,6/19/12,368.0,5.38(w) x 7.72(h) x 0.87(d),Ten Things We Did (and Probably Shouldn't Have),Sarah Mlynowski,$8.37,9780061701269,Harper Teen,"Jun. 19th, 2012",357,5.36 x 7.98 x 0.97 inches,1
Buddha Boy,Kathe Koja,$5.99 ,9780142402092,Penguin Young Readers Group,11/18/04,128.0,4.25(w) x 6.75(h) x 0.38(d),Buddha Boy,Kathe Koja,$8.42,9780142402092,Speak,"Nov. 18th, 2004",117,4.29 x 6.78 x 0.32 inches,1
Demons and Druids (Daniel X Series #3),James Patterson,$8.00 ,9780316038300,"Little, Brown Books for Young Readers",5/10/11,304.0,5.20(w) x 7.60(h) x 0.90(d),Demons and Druids(Daniel X (Quality)),James Patterson,$9.27,9780316038300,Little Brown and Company,"May. 10th, 2011",243,5.20 x 7.50 x 0.90 inches,1
Curse of the Bane (Last Apprentice Series #2),Joseph Delaney,$9.99 ,9780060766238,HarperCollins Publishers,7/24/07,496.0,8.02(w) x 5.22(h) x 1.21(d),Curse of the Bane(Last Apprentice (Paperback)),Joseph Delaney,$11.00,9780060766238,Greenwillow Books,"Jul. 24th, 2007",455,5.40 x 8.00 x 1.20 inches,1
A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi,$7.99 ,9780152046828,Houghton Mifflin Harcourt,6/7/03,320.0,4.50(w) x 7.00(h) x 0.79(d),A Break with Charity(Great Episodes (Paperback)),Ann Rinaldi,$9.17,9780152046828,Graphia Books,"Jul. 1st, 2003",320,4.56 x 7.05 x 0.79 inches,1
Living Up the Street,Gary Soto,$6.99 ,9780440211709,Random House Children's Books,2/28/92,176.0,4.82(w) x 10.78(h) x 0.49(d),Living Up the Street,Gary Soto,$8.43,9780440211709,Laurel Leaf Library,"Feb. 1st, 1992",176,4.34 x 7.06 x 0.49 inches,1
Graceling (Graceling Realm Series #1),Kristin Cashore,$9.99 ,9780547258300,Houghton Mifflin Harcourt,9/7/09,480.0,5.56(w) x 8.28(h) x 1.19(d),Graceling(Graceling (Paperback)),Kristin Cashore,$11.01,9780547258300,Graphia Books,"Sep. 7th, 2009",471,5.55 x 8.27 x 1.28 inches,1
The Farthest Shore (Earthsea Series #3),Ursula K. Le Guin,$7.99 ,9780689845345,Saga Press,9/1/01,272.0,4.30(w) x 6.90(h) x 0.70(d),The Farthest Shore(Earthsea Cycle),Ursula K. Le Guin,$9.15,9780689845345,Simon Pulse,"Sep. 1st, 2001",259,4.20 x 7.01 x 0.70 inches,1
Hunters of the Dusk (Cirque Du Freak Series #7),Darren Shan,$7.40 ,9780316602112,"Little, Brown Books for Young Readers",5/11/05,224.0,5.12(w) x 7.62(h) x 0.75(d),Hunters of the Dusk(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.61,9780316602112,"Little, Brown Books for Young Readers","May. 11th, 2005",224,5.50 x 8.22 x 0.67 inches,1
You Don't Know Me,David Klass,$9.99 ,9780312653026,Square Fish,9/14/10,288.0,6.96(w) x 11.08(h) x 0.76(d),You Don't Know Me,David Klass,$10.60,9780312653026,Square Fish,"Sep. 14th, 2010",288,5.46 x 8.08 x 0.76 inches,1
Dope Sick,Walter Dean Myers,$9.99 ,9780061214790,HarperCollins Publishers,2/2/10,201.0,4.90(w) x 7.00(h) x 0.50(d),Dope Sick,Walter Dean Myers,$10.66,9780061214790,Amistad Press,"Feb. 2nd, 2010",186,5.10 x 7.10 x 0.51 inches,1
Sweet Venom (Sweet Venom Series #1),Tera Lynn Childs,$7.81 ,9780062001825,HarperCollins Publishers,9/4/12,384.0,5.38(w) x 7.82(h) x 0.87(d),Sweet Venom(Sweet Venom (Quality - Trilogy)),Tera Lynn Childs,$10.86,9780062001825,Katherine Tegen Books,"Sep. 4th, 2012",384,,1
Martin the Warrior (Redwall Series #6),Brian Jacques,$7.99 ,9780441001866,Penguin Publishing Group,9/28/99,384.0,4.31(w) x 6.82(h) x 1.07(d),Martin the Warrior(Redwall (Ace Paperback)),Brian Jacques,$9.16,9780441001866,Ace Books,"Apr. 1st, 1995",376,4.19 x 6.75 x 1.04 inches,1
Heaven,Angela Johnson,$5.99 ,9780689822902,Simon Pulse,8/1/00,144.0,4.19(w) x 7.00(h) x 0.40(d),Heaven,Angela Johnson,$7.37,9780689822902,Simon Pulse,"Aug. 1st, 2000",144,4.34 x 7.02 x 0.39 inches,1
Best Friends for Never (Clique Series #2),Lisi Harrison,$7.23 ,9780316701310,"Little, Brown Books for Young Readers",9/30/04,208.0,5.25(w) x 7.50(h) x 0.75(d),Best Friends for Never(Clique (Quality)),Lisi Harrison,$10.63,9780316701310,Poppy Books,"Oct. 6th, 2004",197,4.99 x 7.74 x 0.62 inches,1
The Lying Game (Lying Game Series #1),Sara Shepard,$9.99 ,9780061869716,HarperCollins Publishers,12/6/11,336.0,5.30(w) x 7.90(h) x 1.00(d),The Lying Game(Lying Game (Paperback)),Sara Shepard,$10.59,9780061869716,Harper Teen,"Dec. 6th, 2011",307,5.32 x 7.94 x 0.89 inches,1
