Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Addicted    ,"1 hour, 46 minutes",Bille Woodruff,2014,"Boris Kodjoe, Brandon Gonzales",Addicted,1 hr. 45 min.,Bille Woodruff,2014,"Sharon Leal, Boris Kodjoe, Tasha Smith, Tyson Beckford, Emayatzy E. Corineal..., Kat Graham",1
Pain & Gain    ,"2 hours, 10 minutes",Michael Bay,2013,"Mark Wahlberg, Dwayne Johnson",Pain & Gain,2 hr. 9 min.,Michael Bay,2013,"Mark Wahlberg, Anthony Mackie, Ed Harris, Rob Corddry, Bar Paly, Yolanthe Cabau van K...",1
Prometheus (Blu-ray/ DVD + Digital Copy) , 248 minutes ,Ridley Scott,2012,Noomi Rapace,Prometheus,2 hr. 3 min.,Ridley Scott,2012,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce, Logan Marshall-Green",1
The Raid 2 [Blu-ray] , 150 minutes ,Gareth Evans,2014,Iko Uwais,The Raid 2,2 hr. 28 min.,Gareth Evans,2014,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara, Tio Pakusadewo, Alex Abbad",1
The Town , 125 minutes ,Ben Affleck,2010,Ben Affleck,The Town,2 hr. 31 min.,Ben Affleck,2010,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, Slaine Jenkins",1
Noah    ,"2 hours, 18 minutes",Darren Aronofsky,2014,"Russell Crowe, Jennifer Connelly",Noah,2 hr. 17 min.,Darren Aronofsky,2014,"Russell Crowe, Jennifer Connelly, Ray Winstone, Emma Watson, Anthony Hopkins, Logan Lerman",1
Undisputed III: Redemption    ,"1 hour, 36 minutes",Isaac Florentine,2008,"Scott Adkins, Mykel Shannon Jenkins",Undisputed III: Redemption,1 hr. 36 min.,Isaac Florentine,2010,"Scott Adkins, Mark Ivanir, Mykel Shannon Jenkin..., Lateef Crowder, Marko Zaror, Robert Costanzo",1
Cannonball , 93 minutes ,Paul Bartel,2004,David Carradine,Cannonball,1 hr. 33 min.,Paul Bartel,1976,"David Carradine, Bill McKinney, Veronica Hamel, Gerrit Graham, Robert Carradine, Belinda Balaski",1
Nightcrawler (Blu-ray + DVD + DIGITAL HD with UltraViolet) , 236 minutes ,Dan Gilroy,2015,Jake Gyllenhaal,Nightcrawler,1 hr. 57 min.,Dan Gilroy,2014,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed, Michael Papajohn, Marco Rodriguez",1
Kingdom of Heaven (Director's Cut) [Blu-ray] , 194 minutes ,Ridley Scott,2006,Orlando Bloom,Kingdom of Heaven,2 hr. 25 min.,Ridley Scott,2005,"Orlando Bloom, Liam Neeson, Eva Green, David Thewlis, Jeremy Irons, Edward Norton",1
Belle    ,"1 hour, 44 minutes",Amma Asante,2014,"Matthew Goode, Lauren Julien-Box",Belle,1 hr. 42 min.,Amma Asante,2014,"Gugu Mbatha-Raw, Tom Wilkinson, Emily Watson, Matthew Goode, Sarah Gadon, Penelope Wilton",1
Harry Potter and the Deathly Hallows - Part 2    ,"2 hours, 11 minutes",David Yates,2011,"Ralph Fiennes, Michael Gambon",Harry Potter and the Deathly Hallows - Part 2,2 hr. 11 min.,David Yates,2011,"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Michael Gambon, Alan Rickman",1
Fast & Furious (2009)    ,"1 hour, 48 minutes",Justin Lin,2009,"Vin Diesel, Paul Walker",Fast & Furious,1 hr. 47 min.,Justin Lin,2009,"Vin Diesel, Paul Walker, Michelle Rodriguez, John Ortiz, Jordana Brewster, Laz Alonso",1
Fantastic Four: Rise of the Silver Surfer , 92 minutes ,Tim Story,2007,Jessica Alba,Fantastic Four,2 hr. 3 min.,Tim Story,2005,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater",1
Mortdecai (PG-13)    ,"1 hour, 47 minutes",David Koepp,2015,"Johnny Depp, Gwyneth Paltrow",Mortdecai,1 hr. 46 min.,David Koepp,2015,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany",1
A Dangerous Man , 94 minutes ,Keoni Waxman,2010,Steven Seagal,A Dangerous Man,1 hr. 34 min.,Keoni Waxman,2009,"Steven Seagal, Byron Mann, Mike Dopud, Jesse Hutch, Byron Lawson, Terry Chen",1
A Lonely Place to Die [Blu-ray] , 99 minutes ,Julian Gilbey,2012,Melissa George,A Lonely Place to Die,1 hr. 40 min.,Julian Gilbey,2011,"Melissa George, Ed Speleers, Eamonn Walker, Alec Newman, Kate Magowan, Sean Harris",1
Colombiana (Blu-ray + UltraViolet Digital Copy) , 111 minutes ,Olivier Megaton,2011,Zoe Saldana,Colombiana,1 hr. 48 min.,Olivier Megaton,2011,"Zoe Saldana, Lennie James, Michael Vartan, Cliff Curtis, Jordi Molla, Beto Benites",1
The Lost World (1960/1925) , 172 minutes ,Irwin Allen,2007,Michael Rennie,The Lost World,1 hr. 38 min.,Irwin Allen,1960,"Claude Rains, Michael Rennie, David Hedison, Jill St. John, Fernando Lamas, Richard Haydn",1
Marvel's Guardians of the Galaxy [Blu-ray] , 121 minutes ,James Gunn,2014,Chris Pratt,Guardians of the Galaxy,2 hr. 1 min.,James Gunn,2014,"Chris Pratt, Zoe Saldana, Dave Bautista, Lee Pace, Bradley Cooper, Michael Rooker",1
300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green,300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
Rise of the Planet of the Apes, 105 minutes ,Rupert Wyatt,2011,James Franco,Rise of the Planet of the Apes,1 hr. 45 min.,Rupert Wyatt,2011,"James Franco, Freida Pinto, Andy Serkis, John Lithgow, Brian Cox, Tom Felton",1
Gayby    ,"1 hour, 29 minutes",Jonathan Lisecki,2012,"Jenn Harris, Anna Margaret Hollyman",Gayby,1 hr. 29 min.,Jonathan Lisecki,2012,"Jenn Harris, Matthew Wilkas, Mike Doyle, Anna Margaret Hollym..., Jack Ferver, Jonathan Lisecki",1
Hero , 99 minutes ,Yimou Zhang,2011,Jet Li,Hero,2 hr. 2 min.,Yimou Zhang,2004,"Jet Li, Tony Leung, Maggie Cheung, Zhang Ziyi, Donnie Yen, Tony Leung Chiu Wai",1
The A-Team (+ Digital Copy) [Blu-ray] , 118 minutes ,Joe Carnahan,2010,Liam Neeson,The A-Team,1 hr. 59 min.,Joe Carnahan,2010,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel, Patrick Wilson, Gerald McRaney",1
The Divergent Series: Insurgent (Plus Bonus Features)    ,"2 hours, 19 minutes",Robert Schwentke,2015,"Shailene Woodley,Theo James",Insurgent,1 hr. 59 min.,Robert Schwentke,2015,"Shailene Woodley, Theo James, Daniel Dae Kim, Jonny Weston, Suki Waterhouse, Jai Courtney",1
Max Payne (Unrated Edition) [Blu-ray] , 103 minutes ,John Moore,2009,Mark Wahlberg,Max Payne,1 hr. 40 min.,John Moore,2008,"Mark Wahlberg, Mila Kunis, Beau Bridges, Chris ""Ludacris"" Bri..., Chris O'Donnell, Donal Logue",1
The Iceman , 105 minutes ,Ariel Vromen,2013,Michael Shannon,The Iceman,1 hr. 45 min.,Ariel Vromen,2013,"Michael Shannon, Winona Ryder, James Franco, Chris Evans, Ray Liotta, David Schwimmer",1
The Island [Blu-ray] , 136 minutes ,Michael Bay,2011,Ewan McGregor,The Island,2 hr. 16 min.,Michael Bay,2005,"Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean, Steve Buscemi, Michael Clarke Dunca...",1
Get Smart    ,"1 hour, 50 minutes",Peter Segal,2008,"Steve Carell, Anne Hathaway",Get Smart,1 hr. 50 min.,Peter Segal,2008,"Steve Carell, Anne Hathaway, Alan Arkin, Terence Stamp, Terry Crews, Steven Carrell",1
The Water Diviner    ,"1 hour, 52 minutes",Russell Crowe,2015,"Russell Crowe, Olga Kurylenko",The Water Diviner,1 hr. 51 min.,Russell Crowe,2015,"Russell Crowe, Isabel Lucas, Jai Courtney, Olga Kurylenko, Ryan Corr, Yilmaz Erdogan",1
National Treasure    ,"2 hours, 12 minutes",Jon Turteltaub,2004,"Nicolas Cage, Diane Kruger",National Treasure,2 hr. 10 min.,Jon Turteltaub,2004,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel",1
24: Redemption    ,"1 hour, 43 minutes",Jon Cassar,2008,"Kiefer Sutherland, Cherry Jones",24: Redemption,1 hr. 40 min.,Jon Cassar,2008,"Kiefer Sutherland, Robert Carlyle, Cherry Jones, Jon Voight, Gil Bellows",1
The Three Musketeers (Blu-Ray/Blu-ray 3D Combo) , 110 minutes ,Paul W.S. Anderson,2012,Logan Lerman,The Three Musketeers,1 hr. 50 min.,Paul W.S. Anderson,2011,"Logan Lerman, Orlando Bloom, Milla Jovovich, Christoph Waltz, Ray Stevenson, Luke Evans",1
Underdog    ,"1 hour, 22 minutes",Frederik Du Chau,2007,"Jason Lee, Peter Dinklage",Underdog,1 hr. 20 min.,Frederik Du Chau,2007,"Peter Dinklage, Patrick Warburton, Alex Neuberger, James Belushi, Taylor Momsen, John Slattery",1
Iron Man [Blu-ray] , 125 minutes ,Jon Favreau,2013,Jr. Robert Downey,Iron Man,2 hr. 6 min.,Jon Favreau,2008,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub",1
The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) , 130 minutes ,Harald Zwart,2013,Lily Collins,The Mortal Instruments: City of Bones,2 hr. 10 min.,Harald Zwart,2013,"Lily Collins, Kevin Durand, Lena Headey, Jonathan Rhys Meyers, Jamie Campbell Bower, Robert Sheehan",1
Bad Country [Blu-ray] , 104 minutes ,Chris Brinker,2014,Matt Dillon,Bad Country,1 hr. 16 min.,Chris Brinker,2014,"Amy Smart, Matt Dillon, Willem Dafoe, Neal McDonough, Tom Berenger, J.D. Evermore",1
Thor [DVD] , 114 minutes ,Kenneth Branagh,2013,,Thor,1 hr. 55 min.,Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman, Anthony Hopkins, Tom Hiddleston, Stellan Skarsgard, Kat Dennings",1
King Kong    ,"3 hours, 8 minutes",Peter Jackson,2005,"Naomi Watts, Jack Black",King Kong,3 hr. 7 min.,Peter Jackson,2005,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell",1
Last Knights    ,"1 hour, 55 minutes",Kazuaki Kiriya,2015,"Clive Owen, Morgan Freeman",Last Knights,1 hr. 55 min.,Kazuaki Kiriya,2015,"Clive Owen, Brian Caspe, Morgan Freeman, Cliff Curtis, Tsuyoshi Ihara, Shohreh Aghdashloo",1
Shaolin , 131 minutes ,Benny Chan,2011,Andy Lau,Shaolin,2 hr. 11 min.,Benny Chan,2011,"Andy Lau, Nicholas Tse, Jackie Chan, Bingbing Fan, Wu Jing, Yu Shao-Kang",1
The Hobbit: An Unexpected Journey (Extended Edition) (Blu-ray) , 182 minutes ,Peter Jackson,2013,Ian McKellen,The Hobbit: An Unexpected Journey,2 hr. 50 min.,Peter Jackson,2012,"Ian McKellen, Martin Freeman (II), Richard Armitage, Ken Stott, Graham McTavish, William Kircher",1
Fool's Gold (2008)    ,"1 hour, 53 minutes",Andy Tennant,2008,"Matthew McConaughey, Kate Hudson",Fool's Gold,1 hr. 52 min.,Andy Tennant,2008,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena, Ewen Bremner, Ray Winstone",1
The Life Aquatic with Steve Zissou , 118 minutes ,Wes Anderson,2005,Bill Murray,The Life Aquatic with Steve Zissou,1 hr. 58 min.,Wes Anderson,2004,"Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston, Willem Dafoe, Jeff Goldblum",1
War Horse    ,"2 hours, 27 minutes",Steven Spielberg,2011,"Jeremy Irvine, Peter Mullan",War Horse,2 hr. 26 min.,Steven Spielberg,2011,"Peter Mullan, Jeremy Irvine, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston",1
Flags of Our Fathers (Widescreen Edition) , 135 minutes ,Clint Eastwood,2007,Ryan Phillippe,Flags of Our Fathers,2 hr. 11 min.,Clint Eastwood,2006,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey, John Slattery, Barry Pepper",1
Blowing Wild    ,"1 hour, 30 minutes",Hugo Fregonese,1953,"Gary Cooper, Barbara Stanwyck",Blowing Wild,1 hr. 32 min.,Hugo Fregonese,1953,"Gary Cooper, Barbara Stanwyck, Ruth Roman, Anthony Quinn, Ward Bond, Ian MacDonald",1
Non-Stop , 107 minutes ,Jaume Collet-Serra,2014,Julianne Moore,Non-Stop,1 hr. 47 min.,Jaume Collet-Serra,2014,"Liam Neeson, Julianne Moore, Corey Stoll, Michelle Dockery, Scoot McNairy, Nate Parker",1
Interstellar    ,"2 hours, 50 minutes",Christopher Nolan,2014,"Matthew McConaughey,Anne Hathaway",Interstellar,2 hr. 49 min.,Christopher Nolan,2014,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Casey Affleck, Topher Grace",1
End of Watch (Blu-ray + DVD + Digital Copy + UltraViolet) , 220 minutes ,David Ayer,2013,Jake Gyllenhaal,End of Watch,1 hr. 49 min.,David Ayer,2012,"Jake Gyllenhaal, Michael PeÌ±a, Anna Kendrick, America Ferrera, Frank Grillo, Natalie Martinez",1
Snow on tha Bluff , 93 minutes ,Damon Russell,2012,Curtis Snow,Snow on tha Bluff,1 hr. 19 min.,Damon Russell,2012,"Curtis Snow, Frank Ringer, Curtis Lockett, Tamala Davis, Adrienne Lockett, Cat Erickson",1
Jobs , 129 minutes ,Joshua Michael Stern,2013,Ashton Kutcher,Jobs,2 hr. 9 min.,Joshua Michael Stern,2013,"Ashton Kutcher, Josh Gad, Matthew Modine, J.K. Simmons, Lesley Ann Warren, Ron Eldard",1
Young Guns II (Keepcase) , 103 minutes ,Geoff Murphy,2009,Emilio Estevez,Young Guns II,1 hr. 45 min.,Geoff Murphy,1990,"Emilio Estevez, William L. Petersen, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater, Alan Ruck",1
Warrior    ,"2 hours, 20 minutes",Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy",Warrior,2 hr. 19 min.,Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison (I..., Frank Grillo, Kevin Dunn",1
The Last Airbender    ,"1 hour, 44 minutes",M. Night Shyamalan,2010,"Noah Ringer, Dev Patel",The Last Airbender,1 hr. 43 min.,M. Night Shyamalan,2010,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone, Jessica Jade Andres, Shaun Toub",1
Blackhat [Blu-ray] , 268 minutes ,Michael Mann,2015,,Blackhat,2 hr. 13 min.,Michael Mann,2015,"Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang, Holt McCallany, Ritchie Coster",1
The Brothers Grimm    ,"1 hour, 59 minutes",Terry Gilliam,2005,"Petr Ratimec, Barbora Lukesová",The Brothers Grimm,1 hr. 58 min.,Terry Gilliam,2005,"Matt Damon, Heath Ledger, Monica Bellucci, Jonathan Pryce, Peter Stormare, Lena Headey",1
Safe House , 115 minutes ,Daniel Espinosa,2012,Denzel Washington,Safe House,1 hr. 54 min.,Daniel Espinosa,2012,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Ruben Blades",1
Corsair    ,"1 hour, 14 minutes",Roland West,1931,"Chester Morris, Thelma Todd",Corsair,1 hr. 13 min.,Roland West,1931,"Chester Morris, William Austin, Frank McHugh, Thelma Todd, Emmett Corrigan, Fred Kohler",1
The New World (2005)    ,"2 hours, 16 minutes",Terrence Malick,2005,"Colin Farrell, Q'orianka Kilcher",The New World,2 hr. 30 min.,Terrence Malick,2005,"Colin Farrell, Q'Orianka Kilcher, Christopher Plummer, Christian Bale, August Schellenberg, Wes Studi",1
The Lord of the Rings: The Return of the King (Special Extended Edition) , 250 minutes ,Peter Jackson,2004,Elijah Wood,The Lord of the Rings: The Return of the King,3 hr. 21 min.,Peter Jackson,2003,"Elijah Wood, Sean Astin, Ian McKellen, Andy Serkis, Viggo Mortensen, Orlando Bloom",1
The New World (The Extended Cut) [Blu-ray] , 172 minutes ,Terrence Malick,2009,Colin Farrell,The New World,2 hr. 30 min.,Terrence Malick,2005,"Colin Farrell, Q'Orianka Kilcher, Christopher Plummer, Christian Bale, August Schellenberg, Wes Studi",1
Titanic    ,"3 hours, 15 minutes",James Cameron,2012,"Leonardo DiCaprio, Kate Winslet",Titanic,3 hr. 14 min.,James Cameron,1997,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Bill Paxton",1
MacGruber (Unrated Edition) , 186 minutes ,Jorma Taccone,2010,Will Forte,MacGruber,1 hr. 30 min.,Jorma Taccone,2010,"Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph, Val Kilmer",1
Killer Elite , 117 minutes ,Gary McKendry,2012,Jason Statham,Killer Elite,1 hr. 57 min.,Gary McKendry,2011,"Jason Statham, Clive Owen, Robert De Niro, Yvonne Strahovski, Dominic Purcell, Adewale Akinnuoye-Ag...",1
Thor: The Dark World [Blu-ray] , 112 minutes ,Alan Taylor,2014,Chris Hemsworth,Thor: The Dark World,1 hr. 52 min.,Alan Taylor,2013,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Idris Elba, Christopher Ecclesto..., Adewale Akinnuoye-Ag...",1
The Good Lie    ,"1 hour, 50 minutes",Philippe Falardeau,2014,"Reese Witherspoon, Arnold Oceng",The Good Lie,1 hr. 50 min.,Philippe Falardeau,2014,"Reese Witherspoon, Arnold Oceng, Ger Duany, Emmanuel Jal, Corey Stoll, Kuoth Wiel",1
My Old Lady , 108 minutes ,Israel Horovitz,2015,Kevin Kline,My Old Lady,1 hr. 47 min.,Israel Horovitz,2014,"Kevin Kline, Kristin Scott Thomas, Maggie Smith, Elie Wajeman, Kristin Scott-Thomas..., RaphaÌÇle Moutier",1
Spider-Man 2    ,"2 hours, 8 minutes",Sam Raimi,2004,"Tobey Maguire, Kirsten Dunst",Spider-Man 2,2 hr. 7 min.,Sam Raimi,2004,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, Donna Murphy",1
The Monuments Men , 118 minutes ,George Clooney,2014,George Clooney,The Monuments Men,1 hr. 58 min.,George Clooney,2014,"George Clooney, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban",1
Pandorum    ,"1 hour, 49 minutes",Christian Alvart,2009,"Dennis Quaid, Ben Foster",Pandorum,1 hr. 34 min.,Christian Alvart,2009,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue, Cung Le, Eddie Rouse",1
Sherlock Holmes: A Game of Shadows (Blu-ray) , 129 minutes ,Guy Ritchie,2012,Robert Downey Jr.,Sherlock Holmes,2 hr. 9 min.,Guy Ritchie,2009,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong (II), Eddie Marsan, Robert Maillet",1
Testament Of Youth    ,"2 hours, 9 minutes",James Kent,2015,"Alicia Vikander,Kit Harington",Testament Of Youth,2 hr. 9 min.,James Kent,2015,"Alicia Vikander, Kit Harington, Dominic West, Emily Watson, Hayley Atwell, Taron Egerton",1
Cloverfield    ,"1 hour, 25 minutes",Matt Reeves,2008,"Lizzy Caplan, Jessica Lucas",Cloverfield,1 hr. 24 min.,Matt Reeves,2008,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel, Odette Annable",1
Halo 4: Forward Unto Dawn , 90 minutes ,Stewart Hendler,2012,Tom Green,Halo 4: Forward Unto Dawn,1 hr. 30 min.,Stewart Hendler,2012,"Tom Green (III), Anna Popplewell, Enisha Brewster, Ayelet Zurer, Masam Holden, Iain Belcher",1
Red Tails , 125 minutes ,Anthony Hemingway,2012,Cuba Gooding Jr.,Red Tails,2 hr.,Anthony Hemingway,2012,"Terrence Howard, Cuba Gooding Jr., Bryan Cranston, Nate Parker, David Oyelowo, Tristan Wilds",1
Thor: The Dark World (With Digital-Exclusive Bonus Features)    ,"2 hours, 58 minutes",Alan Taylor,2013,"Chris Hemsworth, Natalie Portman",Thor: The Dark World,1 hr. 52 min.,Alan Taylor,2013,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Idris Elba, Christopher Ecclesto..., Adewale Akinnuoye-Ag...",1
2012, 158 minutes ,Roland Emmerich,2010,John Cusack,2012,2 hr. 38 min.,Roland Emmerich,2009,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy",1
I'll See You in My Dreams (DVD) , 97 minutes ,Brett Haley,2015,,I'll See You in My Dreams,1 hr. 35 min.,Brett Haley,2015,"Blythe Danner, Martin Starr, Sam Elliott, Mary Kay Place, June Squibb, Malin Akerman",1
Thor [DVD] , 114 minutes ,Kenneth Branagh,2013,,Thor,1 hr. 55 min.,Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman, Anthony Hopkins, Tom Hiddleston, Stellan Skarsgard, Kat Dennings",1
King Kong [Blu-ray] , 200 minutes ,Peter Jackson,2009,Naomi Watts,King Kong,3 hr. 7 min.,Peter Jackson,2005,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell",1
Doomsday [Blu-ray] , 113 minutes ,Neil Marshall,2008,Rhona Mitra,Doomsday,1 hr. 49 min.,Neil Marshall,2008,"Rhona Mitra, Bob Hoskins, Adrian Lester, Alexander Siddig, Malcolm McDowell, David O'Hara",1
Life Of Crime    ,"1 hour, 41 minutes",Daniel Schechter,2014,"Jennifer Aniston, Yasiin Bey",Life Of Crime,1 hr. 39 min.,Daniel Schechter,2014,"Jennifer Aniston, Yasiin Bey, Isla Fisher, Will Forte, Mark Boone Jr., Tim Robbins",1
I Witness    ,"1 hour, 39 minutes",Rowdy Herrington,2003,"Jeff Daniels, James Spader",I Witness,1 hr. 38 min.,Rowdy Herrington,2003,"Jeff Daniels, James Spader, Portia de Rossi, Clifton Collins Jr., Wade Williams, Mark Carlton",1
Green Lantern: First Flight [Blu-ray] , 75 minutes ,Lauren Montgomery,2009,,Green Lantern: First Flight,1 hr. 17 min.,Lauren Montgomery,2009,"Christopher Meloni, Kurtwood Smith, Victor Garber, Tricia Helfer, Michael Madsen, John Larroquette",1
24: Redemption    ,"1 hour, 43 minutes",Jon Cassar,2008,"Kiefer Sutherland, Cherry Jones",24: Redemption,1 hr. 40 min.,Jon Cassar,2008,"Kiefer Sutherland, Robert Carlyle, Cherry Jones, Jon Voight, Gil Bellows",1
Lone Survivor    ,"2 hours, 2 minutes",Peter Berg,2013,"Mark Wahlberg, Taylor Kitsch",Lone Survivor,2 hr. 2 min.,Peter Berg,2014,"Ben Foster, Mark Wahlberg, Emile Hirsch, Taylor Kitsch, Eric Bana, Alexander Ludwig",1
Special ID [Blu-ray] , 99 minutes ,Clarence Fok Yiu-leung,2014,Donnie Yen,Special ID,1 hr. 39 min.,Clarence Fok Yiu-leung,2014,"Donnie Yen, Jing Tian, Ronald Cheng, Zhang Hanyu, Andy On, Collin Chou",1
Special ID [Blu-ray] , 99 minutes ,Clarence Fok Yiu-leung,2014,Donnie Yen,Special ID,1 hr. 39 min.,Clarence Fok Yiu-leung,2014,"Donnie Yen, Jing Tian, Ronald Cheng, Zhang Hanyu, Andy On, Collin Chou",1
Friday Night Lights (Widescreen Edition) , 118 minutes ,Peter Berg,2005,Billy Bob Thornton,Friday Night Lights,1 hr. 57 min.,Peter Berg,2004,"Billy Bob Thornton, Lucas Black, Garrett Hedlund, Derek Luke, Jay Hernandez, Lee Jackson",1
Broken Arrow , 93 minutes ,Delmer Daves,2007,James Stewart,Broken Arrow,1 hr. 33 min.,Delmer Daves,1950,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer, Joyce Mackenzie",1
Wyatt Earp , 190 minutes ,Lawrence Kasdan,1994,Kevin Costner,Wyatt Earp,3 hr. 12 min.,Lawrence Kasdan,1994,"Kevin Costner, Dennis Quaid, Gene Hackman, Michael Madsen, David Andrews, Linden Ashby",1
Whiplash [Blu-ray] , 107 minutes ,Damien Chazelle,2015,J.K. Simmons,Whiplash,1 hr. 46 min.,Damien Chazelle,2014,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Nate Lang",1
Surrogates , 89 minutes ,Jonathan Mostow,2010,Bruce Willis,Surrogates,1 hr. 29 min.,Jonathan Mostow,2009,"Bruce Willis, Radha Mitchell, Rosamund Pike, Boris Kodjoe, James Ginty, James Cromwell",1
Boulevard    ,"1 hour, 29 minutes",Dito Montiel,2015,"Robin Williams, Bob Odenkirk",Boulevard,1 hr. 28 min.,Dito Montiel,2015,"Robin Williams, Kathy Baker, Roberto Aguire, Bob Odenkirk, Giles Matthey, Eleonore Hendricks",1
Spring Breakers,2 minutes,Harmony Korine,2013,"James Franco, Selena Gomez",Spring Breakers,1 hr. 33 min.,Harmony Korine,2013,"Selena Gomez, James Franco, Ashley Benson, Rachel Korine, Vanessa Hudgens, Cliff Martinez",1
Hero (English Subtitled)   ,"1 hour, 40 minutes",Yimou Zhang,2004,"Jet Li, Tony Chiu Wai Leung",Hero,2 hr. 2 min.,Yimou Zhang,2004,"Jet Li, Tony Leung, Maggie Cheung, Zhang Ziyi, Donnie Yen, Tony Leung Chiu Wai",1
