Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
Roman Polanski: Wanted and Desired,2008.0,Marina Zenovich,,3.5,"Documentary, Indie",99 minutes,Wanted,2008,Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman",6.7,"Action, Crime, Fantasy",110 min ,1
All Is Lost,2013.0,J.C. Chandor,Robert Redford,4.0,"Action, Adventure",106 minutes,All Is Lost,2013,J.C. Chandor,Robert Redford,6.9,"Action, Adventure, Drama",106 min ,1
Faster,2010.0,George Tillman Jr,,2.5,"Action, Drama, Thriller",98 minutes,Faster,2010,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace",6.5,"Action, Crime, Drama",98 min ,1
Flight,2012.0,Robert Zemeckis,"Denzel Washington,Don Cheadle,John Goodman,Brian Geraghty,Bruce Greenwood,Nadine Velazquez",4.0,Drama,138 minutes,Last Flight to Abuja,2012,Obi Emelonye,"Omotola Jalade-Ekeinde, Hakeem Kae-Kazim, Jim Iyke",6.8,Action,81 min ,1
Dragon Blade,2015.0,Daniel Lee,"Jackie Chan,John Cusack,Adrien Brody,Sharni Vinson,Max Huang,Si Won Choi,Peng Lin",2.0,"Action, Adventure, Drama, History",127 minutes,Dragon Blade,2015,Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody",6.2,"Action, Adventure, Drama",127 min ,1
I Am Big Bird: The Caroll Spinney Story,2015.0,"Dave LaMattina,Chad N. Walker",Caroll Spinney,3.5,Documentary,90 minutes,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min ,1
Pineapple Express,2008.0,David Gordon Green,"Seth Rogen,James Franco,Gary Cole,Amber Heard,Bill Hader,James Remar,Rosie Perez,Ed Begley Jr.,Nora Dunn",3.5,"Action, Comedy",111 minutes,Pineapple Express,2008,David Gordon Green,"Seth Rogen, James Franco, Gary Cole",7.0,"Action, Comedy, Crime",111 min ,1
Looper,2012.0,,"Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Jeff Daniels",3.5,"Action, Science Fiction, Thriller",118 minutes,Looper,2012,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt",7.5,"Action, Crime, Sci-Fi",119 min ,1
Salt,2010.0,Phillip Noyce,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski,Andre Braugher,Hunt Block",4.0,"Action, Thriller",100 minutes,Salt,2010,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",6.4,"Action, Crime, Mystery",100 min ,1
Star Trek,2009.0,J. J. Abrams,"Chris Pine,Zachary Quinto,Leonard Nimoy,Eric Bana,Bruce Greenwood,Zoe Saldana,John Cho,Anton Yelchin,Ben Cross,Winona Ryder,Chris Hemsworth,Jennifer Morrison",2.5,"Action, Adventure, Science Fiction",127 minutes,Star Trek,2009,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg",8.0,"Action, Adventure, Sci-Fi",127 min ,1
Death Race,2008.0,,"Jason Statham,Joan Allen,Ian McShane,Tyrese Gibson,Natalie Martinez,Max Ryan",0.5,"Action, Science Fiction, Thriller",105 minutes,Death Race,2008,Paul W.S. Anderson,"Jason Statham, Joan Allen, Tyrese Gibson",6.4,"Action, Sci-Fi, Thriller",105 min ,1
Superman,1978.0,,,4.0,"Action, Family, Fantasy, Science Fiction",143 minutes,Superman,1978,Richard Donner,"Christopher Reeve, Margot Kidder, Gene Hackman",7.3,"Action, Drama, Sci-Fi",143 min ,1
9,2009.0,Shane Acker,"Elijah Wood,John C. Reilly,Jennifer Connelly,Christopher Plummer,Crispin Glover,Martin Landau,Fred Tatasciore,Alan Oppenheimer,Tom Kane,Helen Wilson",3.0,"Action, Adventure, Animation, Drama, Romance",79 minutes,9,2009,Shane Acker,"Elijah Wood, Jennifer Connelly, Crispin Glover",7.1,"Animation, Action, Adventure",79 min ,1
Total Recall,2012.0,Len Wiseman,"Colin Farrell,Kate Beckinsale,Jessica Biel,Bryan Cranston,Bokeem Woodbine,Bill Nighy",3.0,"Action, Adventure, Science Fiction, Thriller",121 minutes,Total Recall,2012,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston",6.3,"Action, Adventure, Mystery",118 min ,1
RED,2010.0,Robert Schwentke,"Bruce Willis,Morgan Freeman,John Malkovich,Helen Mirren,Karl Urban,Mary-Louise Parker,Brian Cox,Rebecca Pidgeon,Ernest Borgnine,James Remar,Richard Dreyfuss",2.0,"Action, Adventure, Comedy, Crime, Thriller",111 minutes,RED,2010,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman",7.1,"Action, Comedy, Crime",111 min ,1
Wild City,2015.0,Ringo Lam,"Shawn Yue,Louis Koo,Tong Liya,Joseph Chang,Jack Kao Kuo-Hsin,Simon Yam,Sam Lee,Philip Ng,Dave Wong",3.0,Action,120 minutes,Wild City,2015,Ringo Lam,"Louis Koo, Shawn Yue, Liya Tong",5.8,"Action, Crime, Thriller",120 min ,1
Real Steel,2011.0,Shawn Levy,"Hugh Jackman,Dakota Goyo,Evangeline Lilly,Anthony Mackie,Kevin Durand,Hope Davis,James Rebhorn",3.0,"Action, Drama, Science Fiction, Sport",127 minutes,Real Steel,2011,Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo",7.1,"Action, Drama, Sci-Fi",127 min ,1
300: Rise of an Empire,2014.0,Noam Murro,"Lena Headey,Sullivan Stapleton,Eva Green,Jack O'Connell,Rodrigo Santoro,David Wenham,Callan Mulvey,Andrew Tiernan,Ashraf Barhom,Andrew Pleavin",2.5,Action,,300: Rise of an Empire,2014,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey",6.3,"Action, Drama, Fantasy",102 min ,1
Welcome to the Jungle,2013.0,Rob Meltzer,"Kristen Schaal,Megan Boone,Jean-Claude Van Damme,Adam Brody,Rob Huebel,Aaron Takahashi,Bianca Bree,Eric Edelstein,Robert Peters",1.0,Comedy,95 minutes,Welcome to the Punch,2013,Eran Creevy,"James McAvoy, Mark Strong, Andrea Riseborough",6.1,"Action, Crime, Thriller",99 min ,1
I Am Chris Farley,2015.0,"Brent Hodge,Derik Murray","Chris Farley,David Spade,Pat Finn,Bo Derek,Dan Aykroyd,Bob Saget",3.0,Documentary,,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min ,1
LUV,2013.0,Sheldon Candis,"Common,Michael Rainey Jr.,Dennis Haysbert,Danny Glover,Charles S. Dutton,Lonette McKee",3.0,Drama,95 minutes,Jayantabhai Ki Luv Story,2013,Vinnil Markan,"Zakir Hussain, Nasser, Vivek Oberoi",5.2,"Action, Comedy, Romance",130 min ,1
Once Upon A Time In Mumbai Dobaara!,2013.0,Milan Lutheria,"Akshay Kumar,Sonakshi Sinha,Imran Khan,Sonali Bendre,Pitobash Tripathy",2.0,"Action, Crime, Drama",,Once Upon a Time in Brooklyn,2013,Paul Borghese,"Armand Assante, William DeMeo, Cathy Moriarty",3.8,"Action, Crime",116 min ,1
A Most Violent Year,2014.0,J.C. Chandor,"Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Catalina Sandino Moreno",3.0,"Action, Crime, Drama, Thriller",125 minutes,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo",7.1,"Action, Crime, Drama",125 min ,1
Surrogates,2009.0,,"Bruce Willis,Radha Mitchell,Rosamund Pike,Boris Kodjoe,James Francis Ginty,James Cromwell,Ving Rhames,Jack Noseworthy,Devin Ratray,Michael Cudlit",2.5,"Action, Science Fiction, Thriller",89 minutes,Surrogates,2009,Jonathan Mostow,"Bruce Willis, Radha Mitchell, Ving Rhames",6.3,"Action, Sci-Fi, Thriller",89 min ,1
Astro Boy,2009.0,David Bowers,"Freddie Highmore,Nicolas Cage,Kristen Bell,Nathan Lane,Eugene Levy,Matt Lucas,Bill Nighy,Donald Sutherland,Charlize Theron,Samuel L. Jackson",3.0,"Action, Animation, Family",94 minutes,Astro Boy,2009,David Bowers,"Freddie Highmore, Nicolas Cage, Kristen Bell",6.4,"Animation, Action, Family",94 min ,1
John Carter,2012.0,Andrew Stanton,"Taylor Kitsch,Lynn Collins,Willem Dafoe,Thomas Haden Church,Samantha Morton,Dominic West,Ciaran Hinds",2.5,"Action, Adventure, Fantasy, Science Fiction",132 minutes,John Carter,2012,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe",6.6,"Action, Adventure, Fantasy",132 min ,1
District 9,2009.0,Neill Blomkamp,"Sharlto Copley,David James,Vanessa Haywood,Mandla Gaduka,Kenneth Nkosi",3.0,"Action, Foreign, Science Fiction, Thriller",112 minutes,District 9,2009,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope",8.0,"Action, Sci-Fi, Thriller",112 min ,1
Flight,2012.0,Robert Zemeckis,"Denzel Washington,Don Cheadle,John Goodman,Brian Geraghty,Bruce Greenwood,Nadine Velazquez",4.0,Drama,138 minutes,Last Flight to Abuja,2012,Obi Emelonye,"Omotola Jalade-Ekeinde, Hakeem Kae-Kazim, Jim Iyke",6.8,Action,81 min ,1
Red Tails,2012.0,Anthony Hemingway,"Terrence Howard,Cuba Gooding Jr.,Bryan Cranston,Joshua Dallas,Daniela Ruah,David Oyelowo,Gerald McRaney,Ne-Yo",2.5,"Action, Adventure, Drama, History, War",125 minutes,Red Tails,2012,Anthony Hemingway,"Cuba Gooding Jr., Gerald McRaney, David Oyelowo",5.9,"Action, Adventure, Drama",125 min ,1
Teenage Mutant Ninja Turtles,2014.0,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",101 minutes,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner",5.9,"Action, Adventure, Comedy",101 min ,1
Machete Kills,2013.0,Robert Rodriguez,"Jessica Alba,Mel Gibson,Michelle Rodriguez,Danny Trejo,Tom Savini,Sofía Vergara,Lady Gaga,Vanessa Hudgens,Alexa Vega,Cuba Gooding Jr.,Amber Heard,Demián Bichir,Charlie Sheen",2.0,Action,107 minutes,Machete Kills,2013,Robert Rodriguez,"Danny Trejo, Alexa PenaVega, Mel Gibson",5.6,"Action, Crime, Thriller",107 min ,1
Pain & Gain,2013.0,Michael Bay,"Mark Wahlberg,Rebel Wilson,Dwayne Johnson,Ken Jeong,Ed Harris,Anthony Mackie,Tony Shalhoub,Rob Corddry",2.5,Action,130 minutes,Pain & Gain,2013,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie",6.5,"Action, Comedy, Crime",129 min ,1
7 Chinese Brothers,2015.0,Bob Byington,"Jason Schwartzman,Stephen Root,Olympia Dukakis,Alex Karpovsky,Jonathan Togo",2.5,Comedy,76 minutes,Brothers,2015,Karan Malhotra,"Akshay Kumar, Jackie Shroff, Sidharth Malhotra",7.0,"Action, Drama, Sport",156 min ,1
Ice Age: The Meltdown,2006.0,Carlos Saldanha,"Ray Romano,Denis Leary,Queen Latifah,Josh Peck,Jay Leno,Seann William Scott",2.5,"Adventure, Animation, Family",91 minutes,Ice Age: The Meltdown,2006,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary",6.9,"Animation, Action, Adventure",91 min ,1
Shoot 'em up,2007.0,,"Clive Owen,Paul Giamatti,Monica Bellucci,Daniel Pilon,Greg Bryk",3.5,"Action, Adventure, Thriller",86 minutes,Shoot 'Em Up,2007,Michael Davis,"Clive Owen, Monica Bellucci, Paul Giamatti",6.7,"Action, Comedy, Crime",86 min ,1
The Last Airbender,2010.0,,"Noah Ringer,Dev Patel,Nicola Peltz,Jackson Rathbone,Shaun Toub,Aasif Mandvi,Cliff Curtis",0.5,"Action, Adventure, Family, Fantasy, Science Fiction",103 minutes,The Last Airbender,2010,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone",4.3,"Action, Adventure, Family",103 min ,1
Welcome to the Jungle,2013.0,Rob Meltzer,"Kristen Schaal,Megan Boone,Jean-Claude Van Damme,Adam Brody,Rob Huebel,Aaron Takahashi,Bianca Bree,Eric Edelstein,Robert Peters",1.0,Comedy,95 minutes,Welcome to the Jungle,2013,Rob Meltzer,"Jean-Claude Van Damme, Adam Brody, Rob Huebel",5.0,"Action, Adventure, Comedy",95 min ,1
Dior and I,2015.0,Frederic Tcheng,,3.0,Documentary,90 minutes,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min ,1
I Believe in Unicorns,2015.0,Leah Meyerhoff,"Natalia Dyer,Peter Vack,Julia Garner,Amy Seimetz,Toni Meyerhoff",3.0,Drama,80 minutes,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min ,1
Iron Man,2008.0,Jon Favreau,"Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow",4.0,"Action, Adventure, Science Fiction, Thriller",126 minutes,Iron Man,2008,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",7.9,"Action, Adventure, Sci-Fi",126 min ,1
Wristcutters: A Love Story,2007.0,,"Patrick Fugit,Shannyn Sossamon,Shea Whigham",2.5,"Comedy, Drama, Indie, Romance",88 minutes,A Love,2007,Kyung-Taek Kwak,"Kwang-won Bae, Seok-yeon Hong, Hyun-Seong Im",6.9,"Action, Drama",104 min ,1
Persecuted,2014.0,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1.0,"Action, Adventure, Drama, Thriller",91 minutes,Persecuted,2014,Benjamin Bondar,"Joshua M. Bott, John Herzog, Nikita Bogolyubov",7.0,"Action, Drama",19 min ,1
Attack the Block,2011.0,,"John Boyega,Jodie Whittaker,Alex Esmail,Luke Treadaway,Simon Howard,Nick Frost",3.0,"Action, Comedy, Foreign, Science Fiction",88 minutes,Attack the Block,2011,Joe Cornish,"John Boyega, Jodie Whittaker, Alex Esmail",6.6,"Action, Comedy, Sci-Fi",88 min ,1
X-Men: The Last Stand,2006.0,Brett Ratner,"Hugh Jackman,Patrick Stewart,Ian McKellen,Halle Berry,Famke Janssen,Kelsey Grammer",3.0,"Action, Adventure, Fantasy, Science Fiction",104 minutes,X-Men: The Last Stand,2006,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry",6.8,"Action, Adventure, Sci-Fi",104 min ,1
The Losers,2010.0,Sylvain White,"Jeffrey Dean Morgan,Zoe Saldana,Chris Evans,Idris Elba,Columbus Short,Oscar Jaenada,Jason Patric",3.5,"Action, Adventure, Crime, Mystery, Thriller",97 minutes,The Losers,2010,Sylvain White,"Idris Elba, Zoe Saldana, Jeffrey Dean Morgan",6.4,"Action, Crime, Drama",97 min ,1
Sherlock Holmes,2009.0,Guy Ritchie,"Robert Downey Jr.,Jude Law,Mark Strong,Rachel McAdams,Kelly Reilly",3.0,"Action, Adventure, Comedy, Crime, Drama, Mystery, Thriller",128 minutes,Sherlock Holmes,2009,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams",7.6,"Action, Adventure, Crime",128 min ,1
The Legend of Hercules,2014.0,Renny Harlin,"Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam McIntyre,Liam Garrigan,Jukka Hilden,Rade Serbedzija,Johnathon Schaech,Luke Newberry,Kenneth Cranham,Sarai Givaty",1.5,"Action, Adventure",,The Legend of Hercules,2014,Renny Harlin,"Kellan Lutz, Gaia Weiss, Scott Adkins",4.2,"Action, Adventure, Fantasy",99 min ,1
Once Upon A Time In Mumbai Dobaara!,2013.0,Milan Lutheria,"Akshay Kumar,Sonakshi Sinha,Imran Khan,Sonali Bendre,Pitobash Tripathy",2.0,"Action, Crime, Drama",,Once Upon a Time in Vietnam,2013,Dustin Nguyen,"Dustin Nguyen, Veronica Ngo, Roger Yuan",5.3,"Action, Adventure, Drama",102 min ,1
The Mechanic,2011.0,Simon West,"Jason Statham,Ben Foster,Tony Goldwyn,Donald Sutherland,Jeff Chase",2.0,"Action, Adventure, Crime, Drama, Thriller",93 minutes,The Mechanic,2011,Simon West,"Jason Statham, Ben Foster, Donald Sutherland",6.6,"Action, Crime, Thriller",93 min ,1
From Paris With Love,2010.0,Pierre Morel,"John Travolta,Jonathan Rhys-Meyers,Kasia Smutniak,Richard Durden,Bing Yin",2.0,"Action, Adventure, Crime, Foreign, Thriller",92 minutes,From Paris with Love,2010,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak",6.5,"Action, Thriller",92 min ,1
The Double,2011.0,Michael Brandt,"Richard Gere,Topher Grace,Martin Sheen,Stephen Moyer,Odette Yustman",2.0,"Action, Crime, Drama, Mystery, Thriller",98 minutes,The Double,2011,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen",5.9,"Action, Crime, Drama",98 min ,1
The Sorcerer's Apprentice,2010.0,Jon Turteltaub,"Nicolas Cage,Jay Baruchel,Alfred Molina,Teresa Palmer,Monica Bellucci,Alice Krige,Jake Cherry,James A. Stephens",2.5,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",109 minutes,The Sorcerer's Apprentice,2010,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina",6.1,"Action, Adventure, Comedy",109 min ,1
In Time,2011.0,,"Justin Timberlake,Olivia Wilde,Amanda Seyfried,Vincent Kartheiser,Cillian Murphy,Matt Bomer,Alex Pettyfer,Johnny Galecki",3.0,"Action, Science Fiction, Thriller",109 minutes,In Time,2011,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy",6.7,"Action, Sci-Fi, Thriller",109 min ,1
Vampire Academy,2014.0,Mark Waters,"Zoey Deutch,Lucy Fry,Danila Kozlovskiy,Gabriel Byrne,Sarah Hyland,Olga Kurylenko,Joely Richardson",1.0,"Action, Adventure, Drama, Fantasy, Romance",,Vampire Academy,2014,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky",5.6,"Action, Comedy, Fantasy",104 min ,1
Supermensch: The Legend of Shep Gordon,2014.0,"Mike Myers,Beth Aala",,2.5,Documentary,85 minutes,Legend,2014,Boyapati Srinu,"Balakrishna, Jagapathi Babu, Radhika Apte",6.7,"Action, Crime, Drama",168 min ,1
2012,2009.0,Roland Emmerich,"John Cusack,Amanda Peet,Chiwetel Ejiofor,Oliver Platt,Woody Harrelson,Danny Glover,Thandie Newton",3.5,"Action, Adventure, Disaster, Drama, Thriller",158 minutes,2012,2009,Roland Emmerich,"John Cusack, Thandie Newton, Chiwetel Ejiofor",5.8,"Action, Adventure, Sci-Fi",158 min ,1
Homefront,2013.0,Gary Fleder,"James Franco,Jason Statham,Winona Ryder,Rachelle Lefevre,Kate Bosworth",2.5,"Action, Thriller",,Homefront,2013,Gary Fleder,"Jason Statham, James Franco, Winona Ryder",6.5,"Action, Crime, Drama",100 min ,1
Wanted,2008.0,Timur Bekmambetov,"James McAvoy,Angelina Jolie,Morgan Freeman,Terence Stamp,Thomas Kretschmann,Common,Kristen Hager",3.0,"Action, Crime, Thriller",110 minutes,Hero Wanted,2008,Brian Smrz,"Cuba Gooding Jr., Ray Liotta, Tommy Flanagan",5.7,"Action, Crime, Drama",94 min ,1
Boss,2013.0,Anthony D'Souza,"Akshay Kumar,Mithun Chakraborty,Shiv Pandit,Ronit Roy,Aditi Rao Hydari",1.5,"Action, Drama",143 minutes,Boss,2013,Anthony D'Souza,"Akshay Kumar, Shiv Pandit, Mithun Chakraborty",5.4,"Action, Comedy, Drama",143 min ,1
Tower Heist,2011.0,Brett Ratner,"Ben Stiller,Eddie Murphy,Casey Affleck,Alan Alda,Matthew,Tea Leoni,Michael Pena,Gabourey Sidibe,Judd Hirsch",2.5,"Action, Comedy",104 minutes,Tower Heist,2011,Brett Ratner,"Eddie Murphy, Ben Stiller, Casey Affleck",6.2,"Action, Comedy, Crime",104 min ,1
The Amazing Spider-Man 2,2014.0,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2.0,"Action, Adventure, Fantasy",142 minutes,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx",6.8,"Action, Adventure, Fantasy",142 min ,1
Survivor,2015.0,James McTeigue,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy",2.0,"Action, Thriller",96 minutes,Survivor,2015,James McTeigue,"Dylan McDermott, Royce Pierreson, Ben Starr",5.6,"Action, Crime, Thriller",96 min ,1
Happy New Year,2014.0,Farah Khan,"Shahrukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani,Sonu Sood",2.5,"Action, Comedy, Drama, Romance",180 minutes,Happy New Year,2014,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",5.5,"Action, Comedy, Crime",180 min ,1
RED 2,2013.0,Dean Parisot,"Bruce Willis,Mary-Louise Parker,Helen Mirren,John Malkovich,Catherine Zeta-Jones,Anthony Hopkins,David Thewlis",2.5,"Action, Comedy, Crime, Thriller",,RED 2,2013,Dean Parisot,"Bruce Willis, Helen Mirren, John Malkovich",6.7,"Action, Comedy, Crime",116 min ,1
Brick Mansions,2014.0,Camille Delamarre,"Paul Walker,David Belle,RZA,Robert Maillet,Carlo Rota,Catalina Denis,Ayisha Issa",2.5,"Action, Crime",90 minutes,Brick Mansions,2014,Camille Delamarre,"Paul Walker, David Belle, RZA",5.7,"Action, Crime, Drama",90 min ,1
Body of Lies,2008.0,Ridley Scott,"Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani,Oscar Isaac,Simon McBurney",3.0,"Action, Adventure, Drama, Suspense, Thriller",128 minutes,Body of Lies,2008,Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong",7.1,"Action, Drama, Thriller",128 min ,1
The Bourne Legacy,2012.0,,"Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn,Stacy Keach,Albert Finney,David Strathairn",2.5,"Action, Thriller",120 minutes,The Bourne Legacy,2012,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton",6.7,"Action, Adventure, Mystery",135 min ,1
Pawn Shop Chronicles,2013.0,Wayne Kramer,"Elijah Wood,Norman Reedus,Brendan Fraser,Vincent D'Onofrio,Paul Walker,Dj Qualls,Lukas Haas,Matt Dillon,Thomas Jane,Pell James",1.0,"Action, Comedy",112 minutes,Pawn Shop Chronicles,2013,Wayne Kramer,"Paul Walker, Norman Reedus, Elijah Wood",5.9,"Action, Comedy, Crime",112 min ,1
Alex Cross,2012.0,Rob Cohen,"Tyler Perry,Edward Burns,Matthew Fox,Jean Reno,Carmen Ejogo",2.0,"Action, Crime, Drama, Thriller",101 minutes,Alex Cross,2012,Rob Cohen,"Tyler Perry, Matthew Fox, Rachel Nichols",5.1,"Action, Crime, Mystery",101 min ,1
Blackthorn,2011.0,Mateo Gil,"Sam Shepard,Eduardo Noriega,Stephen Rea,Magaly Solier,Dominique McElligott,Nikolaj Coster-Waldau,Padraic Delaney",2.0,"Action, Western",98 minutes,Blackthorn,2011,Mateo Gil,"Sam Shepard, Eduardo Noriega, Stephen Rea",6.6,"Action, Adventure, Western",102 min ,1
Big Bad Wolves,2014.0,"Navot Papushado,Aharon Keshales","Lior Ashkenazi,Rotem Keinan,Tzahi Grad,Doval'e Glickman,Menashe Noy,Dvir Benedek,Kais Nashif",2.0,,110 minutes,Wolves,2014,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson",5.2,"Action, Horror",91 min ,1
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Steven Spielberg,"Harrison Ford,Cate Blanchett,Karen Allen,Shia LeBeouf,John Hurt,Jim Broadbent",3.5,"Action, Adventure",122 minutes,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf",6.2,"Action, Adventure",122 min ,1
9,2009.0,Shane Acker,"Elijah Wood,John C. Reilly,Jennifer Connelly,Christopher Plummer,Crispin Glover,Martin Landau,Fred Tatasciore,Alan Oppenheimer,Tom Kane,Helen Wilson",3.0,"Action, Adventure, Animation, Drama, Romance",79 minutes,District 9,2009,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope",8.0,"Action, Sci-Fi, Thriller",112 min ,1
You Don't Mess With the Zohan,2008.0,Dennis Dugan,"Adam Sandler,John Turturro,Emmanuelle Chriqui,Lainie Kazan,Rob Schneider,Charlotte Rae,Kevin Nealon,Michael Buffer",3.0,"Action, Comedy",113 minutes,You Don't Mess with the Zohan,2008,Dennis Dugan,"Adam Sandler, John Turturro, Emmanuelle Chriqui",5.5,"Action, Comedy",113 min ,1
Wrath of the Titans,2012.0,Jonathan Liebesman,"Sam Worthington,Liam Neeson,Ralph Fiennes,Rosamund Pike,Bill Nighy,Danny Huston,Edgar Ramirez,Toby Kebbell",2.0,"Action, Adventure, Fantasy",99 minutes,Wrath of the Titans,2012,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike",5.8,"Action, Adventure, Fantasy",99 min ,1
