Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
Operating System Extensions for the Teradata Parallel VLDB,"J Catozzi, S Rabinovici","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Operating System Extensions for the Teradata Parallel VLDB,"J Catozzi, S Rabinovici",VLDB,2001,1
The Multidimensional Database System RasDaMan,"P Baumann, A Dehmel, P Furtado, R Ritsch, N  ",,,The Multidimensional Database System RasDaMan,"P Baumann, A Dehmel, P Furtado, R Ritsch, N Widmann",SIGMOD Conference,1998,1
Concurrency in the Data Warehouse,R Taylor,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Concurrency in the Data Warehouse,R Taylor,VLDB,2000,1
Relational Databases for Querying XML Documents: Limitations and Opportunities,"S Jayavel, T Kristin, H Gang","Proc of the 25th VLDB ConferenceEdinburgh, Scotland,",,Relational Databases for Querying XML Documents: Limitations and Opportunities,"J Shanmugasundaram, K Tufte, C Zhang, G He, D DeWitt, J Naughton",VLDB,1999,1
Fundamental Techniques for Order Optimization,"DE Simmen, EJ Shekita, T Malkemus","SIGMOD Conference,",1996.0,Fundamental Techniques for Order Optimization,"D Simmen, E Shekita, T Malkemus",SIGMOD Conference,1996,1
Translating Web Data,"L Popa, Y Velegrakis, RJ Miller, MA Hernandez, R  ","VLDB,",2002.0,Translating Web Data,"L Popa, Y Velegrakis, R Miller, M Hernсndez, R Fagin",VLDB,2002,1
Query Optimization for Selections Using Bitmaps,MC Wu,,,Query Optimization for Selections Using Bitmaps,M Wu,SIGMOD Conference,1999,1
Efficient IR-Style Keyword Search over Relational Databases,V Hristidis,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Efficient IR-Style Keyword Search over Relational Databases,"V Hristidis, L Gravano, Y Papakonstantinou",VLDB,2003,1
Bit-Sliced Index Arithmetic,"D Rinfret, PO'Neil, EO'Neil",,,Bit-Sliced Index Arithmetic,"D Rinfret, P O'Neil, E O'Neil",SIGMOD Conference,2001,1
Reminiscences on Influential Papers,KA Ross,SIGMOD,2002.0,Reminiscences on Influential Papers,,,2002,1
Winnowing: Local Algorithms for Document Fingerprinting,"S Schleimer, DS Wilkerson, A Aiken","SIGMOD Conference,",2003.0,Winnowing: Local Algorithms for Document Fingerprinting,"S Schleimer, D Wilkerson, A Aiken",SIGMOD Conference,2003,1
The 3W Model and Algebra for Unified Data Mining,"T Johnson, LVS Lakshmanan, RT Ng","VLDB,",2000.0,The 3W Model and Algebra for Unified Data Mining,"T Johnson, L Lakshmanan, R Ng",VLDB,2000,1
Improving Index Performance through Prefetching,"S Chen, PB Gibbons, TC Mowry",,,Improving Index Performance through Prefetching,"S Chen, P Gibbons, T Mowry",SIGMOD Conference,2001,1
Using Referential Integrity To Easily Define Consistent Subset Replicas,B Hammond,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,Using Referential Integrity To Easily Define Consistent Subset Replicas,B Hammond,VLDB,1996,1
The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,idt.unit.no,"VLDB,",1999.0,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,K Nјrvхg,VLDB,1999,1
The OASIS Multidatabase Prototype,"M Roantree, J Murphy, W Hasselbring","ACM SIGMOD Record,",1999.0,The OASIS Multidatabase Prototype,"M Roantree, J Murphy, W Hasselbring",SIGMOD Record,1999,1
CQ: A Personalized Update Monitoring Toolkit,"L Liu, C Pu, W Tang, D Buttler, J Biggs, T Zhou, W ","SIGMOD Conference,",1998.0,CQ: A Personalized Update Monitoring Toolkit,"L Liu, C Pu, W Tang, D Buttler, J Biggs, T Zhou, P Benninghoff, W Han, F Yu",SIGMOD Conference,1998,1
Dynamic Memory Adjustment for External Mergesort,"PA Larson, W Zhang",,,Dynamic Memory Adjustment for External Mergesort,"W Zhang, P Larson",VLDB,1997,1
Towards Self-Tuning Data Placement in Parallel Database Systems,"ML Lee, M Kitsuregawa, BC Ooi, KL Tan, A Mondal","SIGMOD Conference,",2000.0,Towards Self-Tuning Data Placement in Parallel Database Systems,"M Lee, M Kitsuregawa, B Ooi, K Tan, A Mondal",SIGMOD Conference,2000,1
"Composite Events for Active Databases: Semantics, Contexts and Detection","S Chakravarthy, V Krishnaprasad, E Anwar, SK Kim","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,"Composite Events for Active Databases: Semantics, Contexts and Detection","S Chakravarthy, V Krishnaprasad, E Anwar, S Kim",VLDB,1994,1
Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,KA Ross,"SIGMOD Conference,",1996.0,Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,"K Ross, D Srivastava, S Sudarshan",SIGMOD Conference,1996,1
Efficient Concurrency Control for Broadcast Environments,"J Shnmugasundram, A Nithrakashyap, R Sivasankaran, ","Technical Report, 1997-062, Department of Computer Science, ",,Efficient Concurrency Control for Broadcast Environments,"J Shanmugasundaram, A Nithrakashyap, R Sivasankaran, K Ramamritham",SIGMOD Conference,1999,1
Efficient and Extensible Algorithms for Multi Query Optimization,"P Roy, S Seshadri, S Sudarshan, S Bhobe",,,Efficient and Extensible Algorithms for Multi Query Optimization,"P Roy, S Seshadri, S Sudarshan, S Bhobe",SIGMOD Conference,2000,1
Recent Design Trade-offs in SQL3,"N Mattos, LG DeMichiel","SIGMOD RECORD,",1994.0,Recent Design Trade-offs in SQL3,"N Mattos, L DeMichiel",SIGMOD Record,1994,1
From Nested-Loop to Join Queries in OODB,"HJ Steenhagen, PMG Apers, HM Blanken, RA De By","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,From Nested-Loop to Join Queries in OODB,"H Steenhagen, P Apers, H Blanken, R By",VLDB,1994,1
The Microsoft Repository,"PA Bernstein, B Harry, P Sanders","VLDB,",1997.0,The Microsoft Repository,"P Bernstein, B Harry, P Sanders, D Shutt, J Zander",VLDB,1997,1
Eddies: Continuously Adaptive Query Processing,F LÃ¶sch,,,Eddies: Continuously Adaptive Query Processing,"R Avnur, J Hellerstein",SIGMOD Conference,2000,1
W3QS: A Query System for the World-Wide Web,"D Konopnicki, O Shmueli",,,W3QS: A Query System for the World-Wide Web,"D Konopnicki, O Shmueli",VLDB,1995,1
Loading a Cache with Query Results,LM Haas,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,Loading a Cache with Query Results,"L Haas, D Kossmann, I Ursu",VLDB,1999,1
New TPC Benchmarks for Decision Support and Web Commerce,"M Poess, C Floyd","ACM SIGMOD Record,",2000.0,New TPC Benchmarks for Decision Support and Web Commerce,"M Pіss, C Floyd",SIGMOD Record,2000,1
High-Concurrency Locking in R-Trees,"D Banks, M Kornacker, M Stonebraker",,,High-Concurrency Locking in R-Trees,"M Kornacker, D Banks",VLDB,1995,1
Eliminating Costly Redundant Computations from SQL Trigger Executions,"F Llirbat, F Fabret, E Simon","SIGMOD Conference,",1997.0,Eliminating Costly Redundant Computations from SQL Trigger Executions,"F Llirbat, F Fabret, E Simon",SIGMOD Conference,1997,1
Best-effort cache synchronization with source cooperation,"C Olston, J Widom","SIGMOD Conference,",2002.0,Best-effort cache synchronization with source cooperation,"C Olston, J Widom",SIGMOD Conference,2002,1
Rule Languages and Internal Algebras for Rule-Based Optimizers,"M Chemiack, S Zdonik","Proc. of the ACM SlGMOD Int. Co@ on Management of Data, ",,Rule Languages and Internal Algebras for Rule-Based Optimizers,"M Cherniack, S Zdonik",SIGMOD Conference,1996,1
On Database Theory and XML,D Suciu,"SIGMOD Record,",2001.0,On Database Theory and XML,D Suciu,SIGMOD Record,2001,1
The MENTOR Workbench for Enterprise-wide Workflow Management,", AK Dittrich, P Muth","SIGMOD Conference,",1997.0,The MENTOR Workbench for Enterprise-wide Workflow Management,"D Wodtke, J Weiпenfels, G Weikum, A Dittrich, P Muth",SIGMOD Conference,1997,1
Probabilistic object bases,"T Eiter, JJ Lu, T Lukasiewicz, VS Subrahmanian","ACM Transactions on Database Systems,",2001.0,Probabilistic object bases,"T Eiter, J Lu, T Lukasiewicz, V Subrahmanian",ACM Trans. Database Syst.,2001,1
The SDSS skyserver: public access to the sloan digital sky server data,"AS Szalay, J Gray, A Thakar, PZ Kunszt, T Malik, J ","SIGMOD Conference,",2002.0,The SDSS skyserver: public access to the sloan digital sky server data,"A Szalay, J Gray, A Thakar, P Kunszt, T Malik, J Raddick, C Stoughton, J vandenBerg",SIGMOD Conference,2002,1
Scientific OLAP for the Biotech Domain,N Huyn,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Scientific OLAP for the Biotech Domain,N Huyn,VLDB,2001,1
Integrating Replacement Policies in StorM: An Extensible Approach,"CL Goh, BC Ooi, S Bressan",,,Integrating Replacement Policies in StorM: An Extensible Approach,"C Goh, B Ooi, S Bressan, K Tan",SIGMOD Conference,2000,1
Continuously adaptive continuous queries over streams,"J Hellerstein, S Madden, V Raman, M Shah","Proc. 2002 ACM SIGMOD Conf,",,Continuously adaptive continuous queries over streams,"S Madden, M Shah, J Hellerstein, V Raman",SIGMOD Conference,2002,1
The History of Histograms (abridged),YE Ioannidis,"VLDB,",2003.0,The History of Histograms (abridged),Y Ioannidis,VLDB,2003,1
XSEarch: A Semantic Search Engine for XML,"S Cohen, J Mamou, Y Kanza, Y Sagiv","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,XSEarch: A Semantic Search Engine for XML,"S Cohen, J Mamou, Y Kanza, Y Sagiv",VLDB,2003,1
Performance Measurements of Tertiary Storage Devices,"T Johnson, EL Miller","VLDB,",1998.0,Performance Measurements of Tertiary Storage Devices,"T Johnson, E Miller",VLDB,1998,1
Overview of the Special Section on Temporal Database Infrastructure,RT Snodgrass,"SIGMOD Record,",1994.0,Overview of the Special Section on Temporal Database Infrastructure,R Snodgrass,SIGMOD Record,1994,1
Process Automation as the Foundation for E-Business,"F Casati, MC Shan","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Process Automation as the Foundation for E-Business,"F Casati, M Shan",VLDB,2000,1
The Microsoft Database Research Group,"D Lomet, R Barga, S Chaudhuri","SIGMOD Record,",1998.0,The Microsoft Database Research Group,"D Lomet, R Barga, S Chaudhuri, P Larson, V Narasayya",SIGMOD Record,1998,1
Media360 Workflow-Implementing a Workflow Engine Inside a Database,C Blecken,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Media360 Workflow-Implementing a Workflow Engine Inside a Database,C Blecken,VLDB,2000,1
Update Propagation Strategies for Improving the Quality of Data on the Web,ALN Roussopoulos,"Submitted for publication,",2001.0,Update Propagation Strategies for Improving the Quality of Data on the Web,"A Labrinidis, N Roussopoulos",VLDB,2001,1
SPRINT: A Scalable Parallel Classifier for Data Mining,"R Agrawal, M Mehta, JC Shafer",Proc.,,SPRINT: A Scalable Parallel Classifier for Data Mining,"J Shafer, R Agrawal, M Mehta",VLDB,1996,1
Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,"A Deshpande, M Garofalakis, R Rastogi","SIGMOD Conference,",2001.0,Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,"A Deshpande, M Garofalakis, R Rastogi",SIGMOD Conference,2001,1
LegoDB: Customizing Relational Storage for XML Documents,"P Bohannon, J Freire, JR Haritsa, M Ramanath, P  ","VLDB,",2002.0,LegoDB: Customizing Relational Storage for XML Documents,"P Bohannon, J Freire, J Haritsa, M Ramanath, P Roy, J Simщon",VLDB,2002,1
An Efficient and Resilient Approach to Filtering and Disseminating Streaming Data,SSSDK Ramamritham,,,An Efficient and Resilient Approach to Filtering and Disseminating Streaming Data,"S Shah, S Dharmarajan, K Ramamritham",VLDB,2003,1
Declustering Databases on Heterogeneous Disk Systems,"LT Chen, D Rotem","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Declustering Databases on Heterogeneous Disk Systems,"L Chen, D Rotem, S Seshadri",VLDB,1995,1
Schema Mapping as Query Discovery,"RJ Miller, LM Haas, MA HernÃ¡ndez","Proceedings of the 26th International Conference on Very  &hellip;,",2000.0,Schema Mapping as Query Discovery,"R Miller, L Haas, M Hernсndez",VLDB,2000,1
Efficient Snapshot Differential Algorithms for Data Warehousing,"W Labio, H Garcia-Molina","VLDB,",1996.0,Efficient Snapshot Differential Algorithms for Data Warehousing,"W Labio, H Garcia-Molina",VLDB,1996,1
What can Hierarchies do for Data Warehouses?,"HV Jagadish, LVS Lakshmanan, D Srivastava","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,What can Hierarchies do for Data Warehouses?,"H Jagadish, L Lakshmanan, D Srivastava",VLDB,1999,1
Networked Data Management Design Points,J Hamilton,"VLDB,",1999.0,Networked Data Management Design Points,J Hamilton,VLDB,1999,1
GraphDB: Modeling and Querying Graphs in Databases,RH Gueting,"VLDB,",1994.0,GraphDB: Modeling and Querying Graphs in Databases,R Gќting,VLDB,1994,1
Query by Diagram: A Graphical Environment for Querying Databases,"T Catarci, G Santucci","SIGMOD Conference,",1994.0,Query by Diagram: A Graphical Environment for Querying Databases,"T Catarci, G Santucci",SIGMOD Conference,1994,1
Ontology-based Support for Digital Government,"A Bouguettaya, AK Elmagarmid, B Medjahed, M  ","Proceedings of the 27th International Conference on Very  &hellip;,",2001.0,Ontology-based Support for Digital Government,"A Bouguettaya, A Elmagarmid, B Medjahed, M Ouzzani",VLDB,2001,1
Interviewing During a Tight Job Market,Q Luo,"SIGMOD Record,",2002.0,Interviewing During a Tight Job Market,,,2002,1
SQL Standardization: The Next Steps,"A Eisenberg, J Melton","ACM SIGMOD Record,",2000.0,SQL Standardization: The Next Steps,"A Eisenberg, J Melton",SIGMOD Record,2000,1
Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,"C Yu, W Meng, W Wu, KL Liu","SIGMOD Conference,",2001.0,Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,"C Yu, W Meng, W Wu, K Liu",SIGMOD Conference,2001,1
PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"V Hristidis, N Koudas, Y Papakonstantinou","SIGMOD Conference,",2001.0,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"V Hristidis, N Koudas, Y Papakonstantinou",SIGMOD Conference,2001,1
The Cubetree Storage Organization,"N Roussopoulos, Y Kotidis","VLDB,",1998.0,The Cubetree Storage Organization,"N Roussopoulos, Y Kotidis",VLDB,1998,1
Why I Like Working in Academia,RT Snodgrass,"SIGMOD Record,",2002.0,Why I Like Working in Academia,R Snodgrass,SIGMOD Record,2002,1
An Overview of Data Warehousing and OLAP Technology,"SC CD971, U Dayal","SIGMOD Record, Vol26 (1),",,An Overview of Data Warehousing and OLAP Technology,"S Chaudhuri, U Dayal",SIGMOD Record,1997,1
New TPC Benchmarks for Decision Support and Web Commerce,GC Introduction,"SIGMOD Record,",2000.0,New TPC Benchmarks for Decision Support and Web Commerce,"M Pіss, C Floyd",SIGMOD Record,2000,1
Clio: A Semi-Automatic Tool For Schema Mapping,"R Miller, M Hernandez, L Haas, L Yan, C Ho, R  ","ACM SIGMOD Record, web edition,",,Clio: A Semi-Automatic Tool For Schema Mapping,"M Hernсndez, R Miller, L Haas",SIGMOD Conference,2001,1
Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"S Viglas, JF Naughton, J Burger","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"S Viglas, J Naughton, J Burger",VLDB,2003,1
Operating System Extensions for the Teradata Parallel VLDB,NCR NCR,,,Operating System Extensions for the Teradata Parallel VLDB,"J Catozzi, S Rabinovici",VLDB,2001,1
Rainbow: Multi-XQuery Optimization Using Materialized XML Views,"X Zhang, K Dimitrova, L Wang, M El Sayed, B Murphy ","Proceedings of the 2003 ACM SIGMOD international conference  &hellip;,",2003.0,Rainbow: Multi-XQuery Optimization Using Materialized XML Views,"X Zhang, K Dimitrova, L Wang, M El-Sayed, B Murphy, B Pielech, M Mulchandani, L Ding, E Rundensteiner",SIGMOD Conference,2003,1
The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,"J Flokstra, M Van Keulen, J Skowronek","SIGMOD RECORD,",1994.0,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,"J Flokstra, M Keulen, J Skowronek",SIGMOD Conference,1994,1
Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,L Golab,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,"L Golab, M жzsu",VLDB,2003,1
A Practical and Modular Implementation of Extended Transaction Models,"RS Barga, C Pu","VLDB,",1995.0,A Practical and Modular Implementation of Extended Transaction Models,"R Barga, C Pu",VLDB,1995,1
Applying Database Technology in the ADSM Mass Storage System,"LF Cabrera, R Rees, W Hineman","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Applying Database Technology in the ADSM Mass Storage System,"L Cabrera, R Rees, W Hineman",VLDB,1995,1
Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,J Widom,"SIGMOD Record,",1994.0,Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,J Widom,SIGMOD Record,1994,1
"Et tu, XML? The downfall of the relational empire (abstract)",P Wadler,"Proceedings of the 27th International Conference on Very  &hellip;,",2001.0,"Et tu, XML? The downfall of the relational empire (abstract)",P Wadler,VLDB,2001,1
Generic Schema Matching with Cupid,"J Mahadavan, PA Bernstein, E Rahm","Proceedings of the 27th VLDB Conference, Roma,",,Generic Schema Matching with Cupid,"J Madhavan, P Bernstein, E Rahm",VLDB,2001,1
Applying an update method to a set of receivers,U Antwerp,,,Applying an update method to a set of receivers,"M Andries, L Cabibbo, J Paredaens, J Bussche",ACM Trans. Database Syst.,2001,1
