Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,"Tejas D. Kulkarni, Karthik R. Narasimhan, Ardavan Saeedi, Joshua B. Tenenbaum","31 May, 2016",,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,"Tejas D. Kulkarni, Karthik Narasimhan, Ardavan Saeedi, Josh Tenenbaum",December 2016,Neurips 2016,1
Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,"Christoph Dann, Emma Brunskill","11 May, 2016",,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,"Christoph Dann, Emma Brunskill",December 2015,Neurips 2015,1
GumBolt: Extending Gumbel trick to Boltzmann priors,"Amir H. Khoshaman, Mohammad H. Amin","1 March, 2019",,GumBolt: Extending Gumbel trick to Boltzmann priors,"Amir H. Khoshaman, Mohammad Amin",December 2018,Neurips 2018,1
Multichannel Sparse Blind Deconvolution on the Sphere,"Yanjun Li, Yoram Bresler","16 March, 2019",,Global Geometry of Multichannel Sparse Blind Deconvolution on the Sphere,"Yanjun Li, Yoram Bresler",December 2018,Neurips 2018,1
The Limits of Post-Selection Generalization,"Kobbi Nissim, Adam Smith, Thomas Steinke, Uri Stemmer, Jonathan Ullman","15 June, 2018",,The Limits of Post-Selection Generalization,"Jonathan Ullman, Adam Smith, Kobbi Nissim, Uri Stemmer, Thomas Steinke",December 2018,Neurips 2018,1
Learning from Distributions via Support Measure Machines,"Krikamol Muandet, Kenji Fukumizu, Francesco Dinuzzo, Bernhard Schlkopf","12 January, 2013",,Learning from Distributions via Support Measure Machines,"Krikamol Muandet, Kenji Fukumizu, Francesco Dinuzzo, Bernhard Schlkopf",December 2012,Neurips 2012,1
Quantifying Learning Guarantees for Convex but Inconsistent Surrogates,"Kirill Struminsky, Simon Lacoste-Julien, Anton Osokin","9 January, 2019",,Quantifying Learning Guarantees for Convex but Inconsistent Surrogates,"Kirill Struminsky, Simon Lacoste-Julien, Anton Osokin",December 2018,Neurips 2018,1
A Probabilistic U-Net for Segmentation of Ambiguous Images,"Simon A. A. Kohl, Bernardino Romera-Paredes, Clemens Meyer, Jeffrey De Fauw, Joseph R. Ledsam, Klaus H. Maier-Hein, S. M. Ali Eslami, Danilo Jimenez Rezende, Olaf Ronneberger","29 January, 2019",,A Probabilistic U-Net for Segmentation of Ambiguous Images,"Simon Kohl, Bernardino Romera-Paredes, Clemens Meyer, Jeffrey De Fauw, Joseph R. Ledsam, Klaus Maier-Hein, S. M. Ali Eslami, Danilo Jimenez Rezende, Olaf Ronneberger",December 2018,Neurips 2018,1
On Learning Intrinsic Rewards for Policy Gradient Methods,"Zeyu Zheng, Junhyuk Oh, Satinder Singh","22 June, 2018",,On Learning Intrinsic Rewards for Policy Gradient Methods,"Zeyu Zheng, Junhyuk Oh, Satinder Singh",December 2018,Neurips 2018,1
Ladder Variational Autoencoders,"Casper Kaae Snderby, Tapani Raiko, Lars Maale, Sren Kaae Snderby, Ole Winther","27 May, 2016",,Ladder Variational Autoencoders,"Casper Kaae Snderby, Tapani Raiko, Lars Maale, Sren Kaae Snderby, Ole Winther",December 2016,Neurips 2016,1
Structure Regularization for Structured Prediction: Theories and Experiments,Xu Sun,"30 January, 2015",,Structure Regularization for Structured Prediction,Xu Sun,December 2014,Neurips 2014,1
Recovering communities in the general stochastic block model without knowing the parameters,"Emmanuel Abbe, Colin Sandon","11 June, 2015",,Recovering Communities in the General Stochastic Block Model Without Knowing the Parameters,"Emmanuel Abbe, Colin Sandon",December 2015,Neurips 2015,1
Global Convergence of Langevin Dynamics Based Algorithms for Nonconvex Optimization,"Pan Xu, Jinghui Chen, Difan Zou, Quanquan Gu","19 February, 2018",,Global Convergence of Langevin Dynamics Based Algorithms for Nonconvex Optimization,"Pan Xu, Jinghui Chen, Difan Zou, Quanquan Gu",December 2018,Neurips 2018,1
Differential Properties of Sinkhorn Approximation for Learning with Wasserstein Distance,"Giulia Luise, Alessandro Rudi, Massimiliano Pontil, Carlo Ciliberto","30 May, 2018",,Differential Properties of Sinkhorn Approximation for Learning with Wasserstein Distance,"Giulia Luise, Alessandro Rudi, Massimiliano Pontil, Carlo Ciliberto",December 2018,Neurips 2018,1
Inference Aided Reinforcement Learning for Incentive Mechanism Design in Crowdsourcing,"Zehong Hu, Yitao Liang, Yang Liu, Jie Zhang","1 June, 2018",,Inference Aided Reinforcement Learning for Incentive Mechanism Design in Crowdsourcing,"Zehong Hu, Yitao Liang, Jie Zhang, Zhao Li, Yang Liu",December 2018,Neurips 2018,1
Task-based End-to-end Model Learning in Stochastic Optimization,"Priya L. Donti, Brandon Amos, J. Zico Kolter","3 April, 2018","Donti, P., Amos, B., & Kolter, J. Z. (2017). Task-based End-to-end Model Learning in Stochastic Optimization. In Advances in Neural Information Processing Systems (pp. 5484-5494)",Task-based End-to-end Model Learning in Stochastic Optimization,"Priya Donti, Brandon Amos, J. Zico Kolter",December 2017,Neurips 2017,1
Online Regret Bounds for Undiscounted Continuous Reinforcement Learning,"Ronald Ortner, Daniil Ryabko","11 February, 2013","in proceedings of NIPS 2012, pp. 1772--1780",Online Regret Bounds for Undiscounted Continuous Reinforcement Learning,"Ronald Ortner, Daniil Ryabko",December 2012,Neurips 2012,1
Uncertainty-Aware Attention for Reliable Interpretation and Prediction,"Jay Heo, Hae Beom Lee, Saehoon Kim, Juho Lee, Kwang Joon Kim, Eunho Yang, Sung Ju Hwang","24 May, 2018",,Uncertainty-Aware Attention for Reliable Interpretation and Prediction,"Jay Heo, Hae Beom Lee, Saehoon Kim, Juho Lee, Kwang Joon Kim, Eunho Yang, Sung Ju Hwang",December 2018,Neurips 2018,1
Consistency of weighted majority votes,"Daniel Berend, Aryeh Kontorovich","21 January, 2014",,Consistency of weighted majority votes,"Daniel Berend, Aryeh Kontorovich",December 2014,Neurips 2014,1
Quantum-chemical insights from interpretable atomistic neural networks,"Kristof T. Schtt, Michael Gastegger, Alexandre Tkatchenko, Klaus-Robert Mller","27 June, 2018",,A Simple Practical Accelerated Method for Finite Sums,Aaron Defazio,December 2016,Neurips 2016,0
COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution,"Mehrdad Farajtabar, Yichen Wang, Manuel Gomez Rodriguez, Shuang Li, Hongyuan Zha, Le Song","1 April, 2016",,Matrix factorization with binary components,"Martin Slawski, Matthias Hein, Pavlo Lutsik",December 2013,Neurips 2013,0
3D Morphology Prediction of Progressive Spinal Deformities from Probabilistic Modeling of Discriminant Manifolds,"Samuel Kadoury, William Mandel, Marjolaine Roy-Beaudry, Marie-Lyne Nault, Stefan Parent","23 January, 2017",,Zero-Shot Transfer with Deictic Object-Oriented Representation in Reinforcement Learning,"Ofir Marom, Benjamin Rosman",December 2018,Neurips 2018,0
Stable specification search in structural equation model with latent variables,"Ridho Rahmadi, Perry Groot, Tom Heskes","24 May, 2018",,Recurrently Controlled Recurrent Networks,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui",December 2018,Neurips 2018,0
Deep Neural Network Ensembles for Time Series Classification,"H. Ismail Fawaz, G. Forestier, J. Weber, L. Idoumghar, P. Muller","15 March, 2019",,Training Deep Neural Networks with 8-bit Floating Point Numbers,"Naigang Wang, Jungwook Choi, Daniel Brand, Chia-Yu Chen, Kailash Gopalakrishnan",December 2018,Neurips 2018,0
Modal-set estimation with an application to clustering,"Heinrich Jiang, Samory Kpotufe","13 June, 2016","Proceedings of the 20th International Conference on Artificial Intelligence and Statistics, in PMLR 54:1197-1206, 2017",Adaptive Step-Size for Policy Gradient Methods,"Matteo Pirotta, Marcello Restelli, Luca Bascetta",December 2013,Neurips 2013,0
A Novel Template-Based Learning Model,"Mohammadreza Abolghasemi-Dahaghani, Farzad Didehvar, Alireza Nowroozi","26 January, 2011",,Sorting out typicality with the inverse moment matrix SOS polynomial,"Edouard Pauwels, Jean B. Lasserre",December 2016,Neurips 2016,0
Import2vec - Learning Embeddings for Software Libraries,"Bart Theeten, Frederik Vandeputte, Tom Van Cutsem","27 March, 2019",,A convex program for bilinear inversion of sparse vectors,"Alireza Aghasi, Ali Ahmed, Paul Hand, Babhru Joshi",December 2018,Neurips 2018,0
Cluster coloring of the Self-Organizing Map: An information visualization perspective,"Peter Sarlin, Samuel Rnnqvist","17 June, 2013",,Modelling and unsupervised learning of symmetric deformable object categories,"James Thewlis, Hakan Bilen, Andrea Vedaldi",December 2018,Neurips 2018,0
Minimum $n$-Rank Approximation via Iterative Hard Thresholding,"Min Zhang, Lei Yang, Zheng-Hai Huang","8 April, 2014",,Topic-Partitioned Multinetwork Embeddings,"Peter Krafft, Juston Moore, Bruce Desmarais, Hanna M. Wallach",December 2012,Neurips 2012,0
Understanding Neural Architecture Search Techniques,"George Adam, Jonathan Lorraine","31 March, 2019",,Online and Stochastic Gradient Methods for Non-decomposable Loss Functions,"Purushottam Kar, Harikrishna Narasimhan, Prateek Jain",December 2014,Neurips 2014,0
A Quasi-Newton Method for Large Scale Support Vector Machines,"Aryan Mokhtari, Alejandro Ribeiro","19 February, 2014",,Group Additive Structure Identification for Kernel Nonparametric Regression,"Chao Pan, Michael Zhu",December 2017,Neurips 2017,0
Variational Information Maximization for Feature Selection,"Shuyang Gao, Greg Ver Steeg, Aram Galstyan","9 June, 2016",,Algorithms and hardness results for parallel large margin learning,"Phil Long, Rocco Servedio",December 2011,Neurips 2011,0
EP-GIG Priors and Applications in Bayesian Sparse Learning,"Zhihua Zhang, Shusen Wang, Dehua Liu, Michael I. Jordan","18 April, 2012",,Reparameterization Gradient for Non-differentiable Models,"Wonyeol Lee, Hangyeol Yu, Hongseok Yang",December 2018,Neurips 2018,0
Identifying Best Interventions through Online Importance Sampling,"Rajat Sen, Karthikeyan Shanmugam, Alexandros G. Dimakis, Sanjay Shakkottai","9 March, 2017",,Fighting Bandits with a New Kind of Smoothness,"Jacob D. Abernethy, Chansoo Lee, Ambuj Tewari",December 2015,Neurips 2015,0
Semi-supervised Learning for Discrete Choice Models,"Jie Yang, Sergey Shebalov, Diego Klabjan","16 February, 2017",,The limits of squared Euclidean distance regularization,"Michal Derezinski, Manfred K. Warmuth",December 2014,Neurips 2014,0
Learning Intrinsic Sparse Structures within Long Short-Term Memory,"Wei Wen, Yuxiong He, Samyam Rajbhandari, Minjia Zhang, Wenhan Wang, Fang Liu, Bin Hu, Yiran Chen, Hai Li","11 February, 2018",,Cross-Spectral Factor Analysis,"Neil Gallagher, Kyle R. Ulrich, Austin Talbot, Kafui Dzirasa, Lawrence Carin, David E. Carlson",December 2017,Neurips 2017,0
"Prior-preconditioned conjugate gradient method for accelerated Gibbs sampling in ""large $n$ & large $p$"" sparse Bayesian regression","Akihiko Nishimura, Marc A. Suchard","4 March, 2019",,Nonparametric Bayesian Lomax delegate racing for survival analysis with competing risks,"Quan Zhang, Mingyuan Zhou",December 2018,Neurips 2018,0
Active Learning On Weighted Graphs Using Adaptive And Non-adaptive Approaches,"Eyal En Gad, Akshay Gadde, A. Salman Avestimehr, Antonio Ortega","18 May, 2016",,Scalable Adaptation of State Complexity for Nonparametric Hidden Markov Models,"Michael C. Hughes, William T. Stephenson, Erik Sudderth",December 2015,Neurips 2015,0
Normalized Flat Minima: Exploring Scale Invariant Definition of Flat Minima for Neural Networks using PAC-Bayesian Analysis,"Yusuke Tsuzuku, Issei Sato, Masashi Sugiyama","28 January, 2019",,A Novel Two-Step Method for Cross Language Representation Learning,"Min Xiao, Yuhong Guo",December 2013,Neurips 2013,0
Towards Building an Intelligent Anti-Malware System: A Deep Learning Approach using Support Vector Machine (SVM) for Malware Classification,Abien Fred Agarap,"7 February, 2019",,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,"Ofer Dekel, Ronen Eldan, Tomer Koren",December 2015,Neurips 2015,0
Communication-Efficient and Decentralized Multi-Task Boosting while Learning the Collaboration Graph,"Valentina Zantedeschi, Aurlien Bellet, Marc Tommasi","25 January, 2019",,"Neuronal Spike Generation Mechanism as an Oversampling, Noise-shaping A-to-D converter","Dmitri B. Chklovskii, Daniel Soudry",December 2012,Neurips 2012,0
Ophthalmic Diagnosis and Deep Learning -- A Survey,"Sourya Sengupta, Amitojdeep Singh, Henry A. Leopold, Vasudevan Lakshminarayanan","12 February, 2019",,Neural Discrete Representation Learning,"Aaron van den Oord, Oriol Vinyals, koray kavukcuoglu",December 2017,Neurips 2017,0
Feature Selection for Microarray Gene Expression Data using Simulated Annealing guided by the Multivariate Joint Entropy,"Fernando Gonzlez, Llus A. Belanche","7 February, 2013",,Convex Deep Learning via Normalized Kernels,"zlem Aslan, Xinhua Zhang, Dale Schuurmans",December 2014,Neurips 2014,0
Distributed Submodular Maximization,"Baharan Mirzasoleiman, Amin Karbasi, Rik Sarkar, Andreas Krause","27 June, 2016",,Triangle Generative Adversarial Networks,"Zhe Gan, Liqun Chen, Weiyao Wang, Yuchen Pu, Yizhe Zhang, Hao Liu, Chunyuan Li, Lawrence Carin",December 2017,Neurips 2017,0
Automatic tagging using deep convolutional neural networks,"Keunwoo Choi, George Fazekas, Mark Sandler","1 June, 2016",,Basis Construction from Power Series Expansions of Value Functions,"Sridhar Mahadevan, Bo Liu",December 2010,Neurips 2010,0
A Characterization of the Non-Uniqueness of Nonnegative Matrix Factorizations,"W. Pan, F. Doshi-Velez","3 April, 2016",,Learning to Prune in Metric and Non-Metric Spaces,"Leonid Boytsov, Bilegsaikhan Naidan",December 2013,Neurips 2013,0
Can Computers Create Art?,Aaron Hertzmann,"7 May, 2018",,Environmental statistics and the trade-off between model-based and TD learning in humans,"Dylan A. Simon, Nathaniel D. Daw",December 2011,Neurips 2011,0
ACDC: A Structured Efficient Linear Layer,"Marcin Moczulski, Misha Denil, Jeremy Appleyard, Nando de Freitas","19 March, 2016",,Transportability from Multiple Environments with Limited Experiments,"Elias Bareinboim, Sanghack Lee, Vasant Honavar, Judea Pearl",December 2013,Neurips 2013,0
Operational Neural Networks,"Serkan Kiranyaz, Turker Ince, Alexandros Iosifidis, Moncef Gabbouj","15 February, 2019",,Fixed-Length Poisson MRF: Adding Dependencies to the Multinomial,"David I. Inouye, Pradeep K. Ravikumar, Inderjit S. Dhillon",December 2015,Neurips 2015,0
Adversarial Learning of Disentangled and Generalizable Representations for Visual Attributes,"James Oldfield, Yannis Panagakis, Mihalis A. Nicolaou","9 April, 2019",,"ExtremeWeather: A large-scale climate dataset for semi-supervised detection, localization, and understanding of extreme weather events","Evan Racah, Christopher Beckham, Tegan Maharaj, Samira Ebrahimi Kahou, Mr. Prabhat, Chris Pal",December 2017,Neurips 2017,0
Communication-Efficient and Decentralized Multi-Task Boosting while Learning the Collaboration Graph,"Valentina Zantedeschi, Aurlien Bellet, Marc Tommasi","25 January, 2019",,Inferring spike-timing-dependent plasticity from spike train data,"Ian Stevenson, Konrad Koerding",December 2011,Neurips 2011,0
Deep Neural Networks with Random Gaussian Weights: A Universal Classification Strategy?,"Raja Giryes, Guillermo Sapiro, Alex M. Bronstein","14 March, 2016",,Co-teaching: Robust training of deep neural networks with extremely noisy labels,"Bo Han, Quanming Yao, Xingrui Yu, Gang Niu, Miao Xu, Weihua Hu, Ivor Tsang, Masashi Sugiyama",December 2018,Neurips 2018,0
Generative Adversarial Network with Multi-Branch Discriminator for Cross-Species Image-to-Image Translation,"Ziqiang Zheng, Zhibin Yu, Haiyong Zheng, Yang Wu, Bing Zheng, Ping Lin","24 January, 2019",,Algorithms and matching lower bounds for approximately-convex optimization,"Andrej Risteski, Yuanzhi Li",December 2016,Neurips 2016,0
On the Relationship between Sum-Product Networks and Bayesian Networks,"Han Zhao, Mazen Melibari, Pascal Poupart","30 April, 2015",,Constrained convex minimization via model-based excessive gap,"Quoc Tran-Dinh, Volkan Cevher",December 2014,Neurips 2014,0
Twitter Speaks: A Case of National Disaster Situational Awareness,"Amir Karami, Vishal Shah, Reza Vaezi, Amit Bansal","6 March, 2019",,Group Additive Structure Identification for Kernel Nonparametric Regression,"Chao Pan, Michael Zhu",December 2017,Neurips 2017,0
Learning Counterfactual Representations for Estimating Individual Dose-Response Curves,"Patrick Schwab, Lorenz Linhardt, Stefan Bauer, Joachim M. Buhmann, Walter Karlen","3 February, 2019",,Grammar as a Foreign Language,"Oriol Vinyals, ukasz Kaiser, Terry Koo, Slav Petrov, Ilya Sutskever, Geoffrey Hinton",December 2015,Neurips 2015,0
Linearized Alternating Direction Method with Parallel Splitting and Adaptive Penalty for Separable Convex Programs in Machine Learning,"Zhouchen Lin, Risheng Liu, Huan Li","28 May, 2014",,Linear Relaxations for Finding Diverse Elements in Metric Spaces,"Aditya Bhaskara, Mehrdad Ghadiri, Vahab Mirrokni, Ola Svensson",December 2016,Neurips 2016,0
Understanding Measures of Uncertainty for Adversarial Example Detection,"Lewis Smith, Yarin Gal","22 March, 2018",,Blind Deconvolutional Phase Retrieval via Convex Programming,"Ali Ahmed, Alireza Aghasi, Paul Hand",December 2018,Neurips 2018,0
Interleaved Text/Image Deep Mining on a Large-Scale Radiology Database for Automated Image Interpretation,"Hoo-Chang Shin, Le Lu, Lauren Kim, Ari Seff, Jianhua Yao, Ronald M. Summers","4 May, 2015",,Parametric Simplex Method for Sparse Learning,"Haotian Pang, Han Liu, Robert J. Vanderbei, Tuo Zhao",December 2017,Neurips 2017,0
