Brand_A,Title_A,Price_A,Description_A,Model_Number_A,Ship_Weight_A,Dimensions_A,Brand_B,Title_B,Price_B,Description_B,Model_Number_B,Ship_Weight_B,Dimensions_B,Gold
Midland,Midland AVP-H1 Motorcycle Microphone Speakers for GMRS FRS Radios,34.79,It s designed for open-faced helmets and works with all Midland GMRS FRS radios. Included are two speakers that attach inside the helmet and a boom microphone that goes inside helmet. Also features an extra-long cable and a push-to-talk button that wraps on the motorcycle handle bar.,AVP-H1,0.94,12.0 x 8.0 x 1.0 inches,Midland,Midland AVPH1 Open Face Helment Headset for Midland GMRS,29.24,Midland Open Face Helment Headsets for use with all Midland GMRS,AVPH1,1 pounds,1.0 x 1.0 x 1.0 inches,1
Fellowes,Fellowes 55-Piece Computer Maintenance Tool Kit,43.88,It enables you to upgrade maintain and repair computer systems. Socket design uses both metric and standard measurements in one.,49106,2.54,13.25 x 7.0 x 1.5 inches,Fellowes,Fellowes 55-Piece Computer Toolkit Black,40.14,Fellowes 55-Piece Computer Maintenance Tool Kit 49106 Tool Kits,49106,3 pounds,13.1 x 7.0 x 1.9 inches,1
Da-Lite,Da-Lite Deluxe Hinged Screen Joining Clamp for Fast Fold Screens,31.99,,89518,1.0,,Da-Lite,Hinged Screen Joining Clamp,30.99,,,8 ounces,,1
HP,HP LaserJet 53X Black Print Cartridge,164.84,It features smart printing technology and an all-in-one design bringing you professional-looking cost-effective laser printing every time.,Q7553X,2.85,15.35 x 7.72 x 4.8 inches,HP,HP LaserJet 53X Black Print Cartridge in Retail Packaging,134.99,,Q7553X,3 pounds,15.4 x 7.7 x 4.8 inches,1
Sony,Sony SS-CR3000 Home Theater Speaker Completer Package,99.99,Complete your sound system with high-fidelity sound from every angle. The Sony SS-CR3000 speaker completer package includes what you need for terrific surround sound.,SS-CR3000,8.8,19.0 x 13.4 x 7.0 inches,Sony,Sony SS-CR3000 Center and Rear Channel Speaker Package,69.98,,SSCR3000,10 pounds,,1
HP,HP C6567B Coated Paper 1 roll 42-inches x 150 ft,69.88,The HP C6567B Coated Paper is an economical everyday paper for vivid high-resolution color images. Its bright white base produces rich color images accurate colors and dense blacks for finely detailed line drawings.,C6567B,11.4,39.42 x 4.05 x 3.78 inches,HP,HP Coated Paper 42 Inches x 150 Feet Roll,51.96,,C6567B,12 pounds,43.5 x 4.2 x 4.0 inches,1
Encore,Prince of Persia PC,10.88,The critically acclaimed Prince of Persia franchise returns with an all-new epic journey. With a new Prince new storyline open world environments and new combat style Prince of Persia brings the franchise to new heights of deadly acrobatic artistry.,21191,0.1,6.0 x 5.25 x 0.9 inches,Encore,Prince Of Persia Jc Cs,12.54,,21191,4 ounces,,1
Quartet,Quartet ReWritables Dry Erase Mini-Markers Fine Point 6 Assorted Colors,4.54,One of the handiest markers you ll find. Comes in a convenient compact size and features a cap with built-in eraser for quick easy corrections. Attached magnets offer an easy way to   markers near or on the board. Intense colors let you create eye-catching and effective presentations. Low-odor ink is ideal for the classroom or home office. These mini-marker erase easily so your board always looks fresh and new. The included colors are Black Blue Green Purple Red and Yellow.,5.1659312E7,0.124,,Quartet,Quartet 51659312 - ReWritables Dry Erase Mini-Markers Fine Point Six Colors 6 Set,23.29,,,5.9 ounces,,1
Lexar Media,Lexar Media LJDFF2GBASBNA 2GB JumpDrive FireFly USB 2.0 Flash Drive,13.88,Lexar Media LJDFF2GBASBNA 2GB JumpDrive FireFly USB 2.0 Flash Drive,LJDFF2GBASBNA,0.5,5.4 x 3.6 x 0.09 inches,Lexar,Lexar JumpDrive FireFly 2 GB USB 2.0 Flash Drive LJDFF2GBASBNA Black,7.99,,LJDFF2GBASBNA,1 pounds,6.0 x 4.0 x 0.1 inches,1
Kenwood,Kenwood 6  5-Way Performance Series Flush Mount Speakers 500 Watts,84.99,Featuring new speaker cone materials and advanced designs Kenwood Performance Series speakers deliver the richest high- mid- and low frequencies with minimal distortion. The oval shaped custom fit speaker is designed with etched diamond shapes all the way to the speaker s edge helping to reduce surface waves on the diaphragm decrease sectional vibration and suppress distorted sound. The Performance Series speakers are also equipped with the Image Enhancer 4 technology which helps to prevent reflected interference for smoother vocals while reducing distortion and providing an even wider dispersion pattern.,KFC-6993PS,9.8,9.0 x 6.0 x 3.0 inches,Kenwood,Kenwood Kfc-6993Ps 6-Inch X 9-Inch Performance Series 5-Way Speaker System,45.19,,KFC-6993PS,10 pounds,14.6 x 12.5 x 6.9 inches,1
HP,HP C7973W Ultrium 800 GB WORM Data Cartridge,29.42,Ultrium 800GB WORM Data Cartridges offer 800GB capacity and 160MB sec transfer rate. Takes just 12.5 seconds to back up 1GB of data to a HP Ultrium 3 cartridge compared to 33 seconds for Ultrium 2 and over 1 minute for Ultrium 1. Write-Once Read-Many WORM capability helps you to integrate a cost-effective solution easily to secure manage and archive compliant data records to meet stringent industry regulations. Ultrium 800GB WORM cartridges last up to 30 years archival life and or 260 full backups.,C7973W,0.58,4.5 x 4.05 x 0.9 inches,HP,Hewlettpkr 1 2 Ultrium Lto-3 Cartridge 2200Ft 400Gb Native 800Gb Compressed Capacity,28.09,,,1.7 pounds,,1
,TOPS Daily Attendance Card 8-1 2 x 11 50 Forms,8.86,Keep track of attendance with the TOPS Daily Attendance Card. These pre-printed forms are great record keeping cards for Human Resource purposes.,3284,1.385,,Tops,New-TOPS 3284 - Daily Attendance Card 8-1 2 x 11 50 Forms - TOP3284,,,,3 pounds,,1
HP,HP 70 Green 130-ml Ink Cartridge C9457A,74.88,,HPC9457A,0.55,7.9 x 3.5 x 1.7 inches,HP,INK HP 70 GREEN 130 ML INK,62.47,,C9457A,10.1 ounces,,1
IOSAFE,ioSafe Solo - 1 TB Fireproof Waterproof External Hard Drive includes 1k Disaster Recovery Service,199.58,ioSafe Solo - 1 TB Fireproof Waterproof External Hard Drive includes 1k Disaster Recovery Service,SL1000GBUSB20,17.0,17.0 x 10.0 x 8.0 inches,ioSafe,IoSafe Solo 1 TB Fireproof and Waterproof External Hard Drive 1 Year Data Recovery Service SL1000GBUSB20 Silver,199.85,Like an aircraft black box for your digital data the ioSafe Solo is the world s first high capacity fireproof amp waterproof external hard drive. Using a simple USB 2.0 interface the ioSafe Solo works with your PC or Mac just like any other USB external hard drive. Compatible with almost all backup programs that work with external hard drives. A combination of patented and patent pending ioSafe technologies work to allow for airflow cooling during normal operation yet protect the data from fire and floods. FloSafe vents are open during normal operation. Active cooling is provided by a near silent fan that drives air through the FloSafe vents. During a fire event the patented FloSafe vents automatically close to prevent extreme outside heat from damaging the hard disk inside the enclosure. DataCast is our proprietary endothermic insulation that vaporizes embedded water molecules during a fire and works hard to protect the inner hard drive from damage even though the outside temperatures spike to over 1500.,SL1000GBUSB20,18 pounds,11.0 x 7.1 x 5.0 inches,1
Edge Tech,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card,10.88,Store pictures videos and more with EDGE Tech SDHC Memory Cards. These cards are compatible with many digital cameras camcorders PDAs and more. Use EDGE Tech SDHC Memory Cards to easily transfer data from cameras to PCs and more.,PE209780,0.05,1.25 x 0.94 x 0.08 inches,Edge,4GB EDGE PROSHOT SDHC MEMORY CARD CLASS6,17.83,,,5.3 ounces,,1
Tenba,Tenba Mixx Shoulder Bag  Large,85.99,,136902,1.8,10.5 x 9.5 x 8.5 inches,Tenba,Tenba 638-623 Mixx Large Camera Shoulder Bag Black Blue,57.95,,638-623,2 pounds,10.5 x 9.5 x 8.5 inches,1
rooCASE,rooCASE Multi-Angle Leather Case for LG G-Slate 8.9-Inch 4G Tablet,35.99,,222052,1.0,9.6 x 6.2 x 0.9 inches,rooCASE,rooCASE Ultra Slim Red Leather Case Cover with Stand for LG G-Slate 8.9-Inch 4G Android Tablet Wi-Fi 4G,32.93,,,1 pounds,9.8 x 6.2 x 0.4 inches,1
Logitech,Logitech 985-000283 UE 200VI Blue,39.88,The Logitech Inc. UE 200vi Earphones are tuned by the same engineers who make the custom earphones preferred by world s top touring musicians. No need to fumble with your iPhone BlackBerry or iPod. On-cord controls let you take calls adjust the volume and change tracks on the run. With five pairs of soft silicone ear cushions from XXS to L you won t have to worry about getting the right fit - even if you ve got small ears.,985-000283,1.0,6.14 x 4.02 x 1.73 inches,Ultimate Ears,Ultimate Ears 200vi Noise-Isolating Headset Blue,37.67,Ultimate Ears 200vi Noise-Isolating Headset comfortable music and calls. Designed by Ultimate Ears this sweet-sounding headset fits your ears even if they re small and includes on-cord controls with an integrated microphone.,985-000283,1 pounds,6.2 x 2.8 x 1.3 inches,1
OCZ Technologies,OCZ Technology Vertex 2 60GB 2.5  SATA II Solid State Drive,119.98,Based on cutting-edge architecture the Vertex 2 Solid State Drive from OCZ Technology delivers unprecedented performance for the complete gamut of gaming and professional multimedia applications. This drive pushes the limits in both sequential and random read write rates and it provides a faster more responsive PC experience while promoting cooler quieter more energy efficient conditions than traditional hard drives. With sheer performance that outpaces the competition the Vertex 2 Solid State Drive is your ideal storage alternative.,OCZSSD22VTXE60G,0.45,6.0 x 5.0 x 0.8 inches,OCZ,OCZ Technology 60 GB Vertex 2 Series SATA II 2.5-Inch Solid State Drive SSD OCZSSD22VTXE60G,94.99,Based on a cutting-edge new architecture Vertex 2 Solid State Drives deliver unprecedented performance while maintaining an affordable storage solution for early adopters looking to update their systems with the latest technology. OCZ designed the Vertex 2 to excel in both sequential and random read write rates to take your PC or notebook productivity to the next level featuring superb 4k random writes up to 50 000 IOPS to give a performance edge over the previous generation. Using the latest controller technology Vertex 2 not only provides a faster more responsive PC experience but promotes cooler quieter and more energy efficient conditions compared to traditional mechanical hard drives. With solid performance coupled with supreme reliability the Vertex 2 is designed to push the envelope in storage technology for those who place a premium on speed reliability and efficiency but demand the affordability of MLC flash memory. Built into SATA 3Gb s the Vertex 2 Series easily integrates into today s mobile and desktop platforms and features TRIM support to optimize performance over the drive s lifespan as the ultimate Windows 7 notebook or desktop upgrade.,OCZSSD2-2VTXE60G,1 pounds,3.9 x 2.7 x 0.4 inches,1
Nikon,Nikon D3000 Black 10.2MP DSLR Camera Kit with AF-S DX Nikkor 18-55mm f 3.5-5.6G VR Lens w 50 Bonus Prints,443.99,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value The Nikon D3000 DSLR features split-second shutter response a 3  color LCD continuous shooting up to three frames per second and in-camera editing. The lens offers fast 11-point autofocus to deliver vivid color striking contrast and crisp detail while VR image stabilization assures you of sharp pictures. Plus the Nikon D3000 DSLR has a highly efficient energy-saving design  allows approximately 550 images on a single battery charge. The Nikon 10MP DSLR camera and Nikkor VR Lens Combination make a great package for the hobbiest the novice or the advanced photographer.,D3000 Kit,3.85,5.0 x 4.2 x 4.1 inches,Nikon,Nikon D3000 10.2MP Digital SLR Camera with 18-55mm f 3.5-5.6G AF-S DX VR Nikkor Zoom Lens,,Nikon D3000 10.2MP Digital SLR Camera with 18-55mm f 3.5-5.6G AF-S DX VR Nikkor Zoom Lens 25462,D3000 18-55mm Kit,4.4 pounds,5.0 x 3.8 x 2.6 inches,1
iLuv,iLuv Portfolio Case Stand for iPad 2 Black,35.88,The iLuv Portfolio Case Stand for iPad 2 is a sleek stylish and durable leatherette portfolio case with a stand. It is perfect fit for the iPad 2 and your on-the-go lifestyle. It protects your iPad 2 from scratches and scrapes.,ICC816BLK,0.56,11.0 x 7.75 x 1.6 inches,iLuv,iLuv iCC816 Portfolio Case with Stand for 2nd Generation Apple iPad 2 WiFi 3G Model 16GB 32GB 64GB NEWEST Model Black,20.09,,iCC816BLK,1 pounds,10.0 x 8.0 x 1.5 inches,1
Epson,Epson T078320 Claria Hi-Definition Magenta Ink Cartridge for Epson Stylus Photo Printers,16.84,This Epson Magenta Ink Cartridge offers optimum performance and productivity with superior resistance to smudging and bleeding.,T078320,0.1,4.6 x 4.4 x 0.9 inches,Epson,Epson 78 Magenta Ink Cartridge T078320,8.46,MU EPSON T078320 CLARIA MAGNETA INK,T078320,1 pounds,4.3 x 4.3 x 0.8 inches,1
RCA,RCA 22  Class 1080p 60Hz LCD HDTV 22LA45RQ,169.0,Enjoy watching your favorite TV shows sports event and movies in your bedroom and kitchen along with your budget. RCA 22  1080p LCD HDTV delivers easy connection to your PC and other devices.  Note You must have a source of HD programming in order to take full advantage of the RCA 22  1080p LCD HDTV. Contact your local cable or satellite TV service provider for details on how to upgrade.,22LA45RQ,12.2,20.9 x 16.22 x 7.9 inches,RCA,RCA 22LA45RQ 22-Inch 720p LCD TV - Black,169.0,22 inch Full HD 1080p LCD TV - Tuner ATSC 1 HDMI Input Resolution 1920x1080 Contrast 1000 1 Brightness 300cd Response Time 5ms Digital 3D Comb Filter Noise Reduction Component S-VIDEO VGA AV input,22LA45RQ,14 pounds,20.9 x 16.5 x 6.1 inches,1
APC,APC Line-R 1200VA Line Conditioner with Automatic Voltage Regulator LE1200,48.24,This APC LE1200 Line-R 1200VA Line Conditioner With AVR automatically steps up low voltage and steps down high voltage to levels that are suitable for your equipment. Lightning and surge protection is included to prevent damage to your equipment from power surges and spikes. The circuit breaker can reset for easy recovery from overloads and no need to replace a fuse.,LE1200,10.38,8.43 x 5.55 x 4.55 inches,APC,APC LE1200 Line-R 1200VA Automatic Voltage Regulator,47.99,,LE1200,11 pounds,10.8 x 8.2 x 6.8 inches,1
V7,V7 8GB SD Card Secure Digital High Capacity 8 GB Memory Card,10.26,V7 Secure Digital High Capacity SDHC Cards are the perfect way to store and share your favorite digital media content such as photos videos music and more. These SDHC cards are compatible for an array of digital products including digital cameras camcorders MP3 players and computers.,VASDH8GCL4R-1N,7.65,11.65 x 9.15 x 8.48 inches,V7,V7 8GB SD Card Secure Digital High Capacity 8 GB Memory Card,8.08,V7 VASDH8GCL4R-1N Secure Digital High Capacity SDHC VASDH8GCL4R-1N Flash Memory,VASDH8GCL4R-1N,1 pounds,4.0 x 4.0 x 0.2 inches,1
Garmin,Garmin eTrex Summit HC Handheld GPS Receiver 010-00633-00,166.88,A staple among outdoor enthusiasts the Garmin Summit HC features a high-sensitivity GPS receiver for peak performance in any environment and includes 24 Megabytes of internal memory a detailed basemap a crisp color screen a barometric altimeter and an electronic compass. The compass provides bearing information even while you re standing still and the barometric altimeter tracks changes in pressure to pinpoint your precise altitude. You can even use the altimeter to plot barometric pressure over time helping you keep an eye on changing weather conditions. The basemap contains lakes rivers cities interstates national and state highways railroads and coastlines. 24MB of internal memory lets you load waypoints and routes from the included MapSource Trip   Waypoint Manager software and add map detail from Garmin s entire line of optional MapSource mapping products. Its 256-color sunlight-readable display makes it easy to distinguish map details even in bright sunlight.,010-00633-00,0.81,1.7 x 1.3 inches,Garmin,Garmin eTrex Summit HC Handheld GPS Receiver,166.88,GARMIN eTrex Summit HC Hand Held Receiver w Built in GPS Patch Antenna. New high sensitivity GPS receiver. 24 Mbyte of internal memory for storing detailed maps. WAAS enabled 12 parallel channel GPS receiver. Built in GPS patch antenna. Display 1.3 in W x 1.7 in H 256 color high resolution transflective TFT 176 x 220 pixels.Electronic compass displays accurate heading while standing still. Barometric altimeter with automatic pressure trend recording. LED backlit display and keypad. Battery life up to 32 hours typical use using two AA alkaline batteries.Includes a built in Americas autoroute basemap with automatic routing capabilities including highways exits and tide data USA only. 500 user waypoints with name and graphic symbol 20 reversible routes 50 points per route. Position formats include Lat Lon UTM Loran TDs Maidenhead MGRS user grid and more. Audible alarms for anchor drag arrival off course and clock. Large numbers option for easy viewing dual position display mode. Trip computer provides odometer stopped time moving average overall average total time max speed and more. 10 000 point automatic track log 20 saved tracks 500 points each let you retrace your path in both directions. Elevation computer Summit HC provides current elevation ascent descent rate minimum maximum elevation total ascent and descent average and maximum ascent and descent rate. Built in celestial tables for best time to fish and hunt plus sun and moon calculations. Fully compatible with MapSource products including BlueChart City Navigator U.S. TOPO 24K U.S. TOPO and US Inland lakes. Waterproof IEC 60529 IPX7  Submersible 1 meter at 30 minutes,010-00633-00,2 pounds,4.0 x 2.0 x 1.2 inches,1
